col0,col1,col2,col3,col4,col5,col6,col7
Lockhart River Indigenous Knowledge Centre,Lockhart River,Australia,"Poucheewoo Street, Lockhart River, Queensland 4892",Queensland,Indigenous Knowledge Centre,no,Rural Libraries Queensland Catalogue
Kubin Indigenous Knowledge Centre,Moa Island,Australia,"Main Street, Kubin Village, Kubin, Queensland 4875",Queensland,Indigenous Knowledge Centre,no,Rural Libraries Queensland Catalogue
Dawita Cultural Centre,Yam Island,Australia,"Church Road, Yam Island, Queensland 4875",Queensland,Indigenous Knowledge Centre,no,Rural Libraries Queensland Catalogue
Jack Bambie Memorial Centre,Hope Vale,Australia,"5 Muni Street, Hope Vale, Queensland 4895",Queensland,Indigenous Knowledge Centre,no,Rural Libraries Queensland Catalogue
Hammond Island Indigenous Knowledge Centre,Hammond Island,Australia,"Hammond Island IKC, Wonie Road, Hammond Island, Queensland 4875",Queensland,Indigenous Knowledge Centre,no,Rural Libraries Queensland Catalogue
Erub Island Indigenous Knowledge Centre,Darnley Island,Australia,"Madige Village, Erub Island, Queensland 4875",Queensland,Indigenous Knowledge Centre,no,Rural Libraries Queensland Catalogue
Dauan Island Indigenous Knowledge Centre,Dauan Island,Australia,"Main Street, Dauan Island, Queensland 4875",Queensland,Indigenous Knowledge Centre,no,Rural Libraries Queensland Catalogue
Winifred Fisher Knowledge Centre,Cherbourg,Australia,"Old Youth Respite Centre, Barambah Road, Cherbourg, Queensland 4605",Queensland,Indigenous Knowledge Centre,yes,Rural Libraries Queensland Catalogue
Boigu Island Indigenous Knowledge Centre,Boigu Island,Australia,"66 Chamber Street, Boigu Island, Queensland 4875",Queensland,Indigenous Knowledge Centre,no,Rural Libraries Queensland Catalogue
Bamaga Indigenous Knowledge Centre,Bamaga,Australia,"HACC Centre Building, Adidi Street, Bamaga, Queensland 4876",Queensland,Indigenous Knowledge Centre,no,Rural Libraries Queensland Catalogue
Badu Island Indigenous Knowledge Centre,Badu Island,Australia,"Nona Street, Badu Island, Queensland 4875",Queensland,Indigenous Knowledge Centre,no,Rural Libraries Queensland Catalogue
Wik Mungkan Indigenous Knowledge Centre,Aurukun,Australia,"Wik Mungkan Indigenous Knowledge Centre, 39 Kang Kang Road, Aurukun, Queensland 4871",Queensland,Indigenous Knowledge Centre,no,Rural Libraries Queensland Catalogue
Yarrabah Knowledge Centre,Yarrabah,Australia,"Lot 207 Noble Drive, Yarrabah, Queensland 4871",Queensland,public library,no,Rural Libraries Queensland Catalogue
Binal Mungka Bayan,Wujal Wujal,Australia,"Binal Mungka Bayan, Wujal Wujal, Queensland 4895",Queensland,public library,no,Rural Libraries Queensland Catalogue
