col0,col1,col2
Din nye ven,2007-10-09,Denmark
Café Katz,2013-07-01,Denmark
Kluuvikatu Fazer café,1828-01-01,Finland
Miko,1937-12-28,Belgium
Good Life Cafe,1989-01-01,United States of America
Kahisakan,1888-01-01,Japan
CrossCafe,2007-01-01,Czech Republic
Momi cafe,2009-07-04,People's Republic of China
Regency Café,1946-01-01,United Kingdom
Caffè Bardi,1908-01-01,Italy
Café Klaptræet,1991-04-01,Denmark
Kanal Cafeen,1852-01-01,Denmark
Café Nick,1994-09-01,Denmark
Café La Granja,1926-01-01,Spain
Café Barbieri,1902-01-01,Spain
Café Lion d'Or,1898-01-01,Spain
Café Iruña,1903-01-01,Spain
Clayton Hotel Burlington Road,1972-01-01,Ireland
Café Lion,1911-01-01,Japan
Café Paulista,1911-01-01,Japan
