col0,col1,col2
Boydell & Co,1804-01-01,1817-01-01
"Sherwood, Jones, and Co",1820-01-01,1829-01-01
"Vernor, Hood & Sharpe",1810-01-01,1812-01-01
W. Versluys,1875-01-01,1997-01-01
Feministische Uitgeverij Sara,1977-01-01,1987-01-01
Deutscher Architektur- und Industrie-Verlag,1919-01-01,1932-01-01
Evropské vydavatelstvo,1937-01-01,1947-01-01
Pilote 24 Edition,1982-01-01,2013-01-01
Horvath,t992296116,t992296199
De Martinis & C. Editori s.r.l.,1992-01-01,1995-01-01
Charpentier,1830-01-01,1893-01-01
Éditions Farges,1894-01-01,1920-01-01
