col0,col1,col2,col3,col4
11th arrondissement of Paris,146643,3.67,12th arrondissement of Paris,France
19th arrondissement of Paris,187015,6.79,11th arrondissement of Paris,France
12th arrondissement of Paris,140296,6.38,11th arrondissement of Paris,France
10th arrondissement of Paris,90372,2.89,11th arrondissement of Paris,France
10th arrondissement of Marseille,56138,10.84,11th arrondissement of Marseille,France
20th arrondissement of Paris,195814,5.98,11th arrondissement of Paris,France
9th arrondissement of Paris,59555,2.18,8th arrondissement of Paris,France
9th arrondissement of Marseille,75914,63.24,8th arrondissement of Marseille,France
8th arrondissement of Paris,36808,3.88,7th arrondissement of Paris,France
7th arrondissement of Paris,51367,4.09,6th arrondissement of Paris,France
