col0,col1,col2,col3
Tupperware,direct selling,joint-stock company,Orlando
Beachbody,fitness,privately held company,Santa Monica
Lyoness,multi-level marketing,Aktiengesellschaft,St. Gallen
NXIVM,multi-level marketing,privately held company,Albany
Nu Skin Enterprises,personal care,public company,Provo
MonaVie,food industry,privately held company,Salt Lake City
USANA Health Sciences,food industry,joint-stock company,Salt Lake City
Southwestern Company,conglomerate,joint-stock company,Nashville
Mary Kay,cosmetic industry,privately held company,Dallas
FreeLife,food industry,privately held company,Phoenix
Tiens Biotech Group,pharmaceutical industry,joint-stock company,Tianjin
Herbalife,food industry,public company,Cayman Islands
