col0,col1,col2
Shizuoka Prefectural Numazu Technical High School,78,720
Shizuoka Prefectural Kakegawanishi High School,55,974
Shizuoka Prefectural Gotemba Minami High School,36,597
Shizuoka Dacheng Secondary School and Higher Education,9,178
Aomori Higashi High School,21,840
Aomori Prefectural Kanagi High School,5,100
Aomori Prefectural Kashiwagi Agricultural High School,12,402
Aomori Prefectural Hirosaki High School,18,715
Hachinohe Kōtō Gakkō,18,713
Hachinohe Technical High School,25,741
Aomori Prefectural Hachinohe Commercial High School,11,436
Goshogawara Kōtō Gakkō,18,1206
Saitama Prefectural Omiya Chuo Senior High School,45,725
Saitama Prefectual Sakado Senior High School,64,1086
