col0,col1,col2,col3,col4,col5,col6
Gazprom-RusVelo 2016,2016-12-31,cycling team season,2016 Giro dell'Appennino,Renat Khamidulin,RusVelo 2015,Gazprom-RusVelo 2017
ONE 2016,2016-12-31,UCI Continental Team,"2016 New Zealand Cycle Classic, Stage 3",Rebecca Frewing,ONE 2015,ONE 2017
Gazprom-RusVelo 2016,2016-12-31,UCI Professional Continental Team,2016 Giro dell'Appennino,Renat Khamidulin,RusVelo 2015,Gazprom-RusVelo 2017
Roompot-Oranje Peloton 2016,2016-12-31,UCI Professional Continental Team,2016 Tour de Luxembourg,Michael Zijlaard,Roompot Oranje Peloton 2015,Roompot-Nederlandse Loterij 2017
Gazprom-RusVelo 2018,2018-12-31,cycling team season,2018 Giro Ciclistico d'Italia,Heiko Salzwedel,Gazprom-RusVelo 2017,Gazprom-RusVelo 2019
Direct Énergie 2018,2018-12-31,cycling team season,"2018 Paris-Nice, stage 3",Jean-René Bernaudeau,Direct Énergie 2017,Total Direct Énergie 2019
Gazprom-RusVelo 2018,2018-12-31,UCI Professional Continental Team,2018 Giro Ciclistico d'Italia,Heiko Salzwedel,Gazprom-RusVelo 2017,Gazprom-RusVelo 2019
Direct Énergie 2018,2018-12-31,UCI Professional Continental Team,"2018 Paris-Nice, stage 3",Jean-René Bernaudeau,Direct Énergie 2017,Total Direct Énergie 2019
Wilier Triestina-Selle Italia 2018,2018-12-31,cycling team season,"2018 La Tropicale Amissa Bongo, Stage 7",Angelo Citracca,Wilier Triestina-Selle Italia 2017,Neri Sottoli-Selle Italia-KTM 2019
WB-Aqua Protect-Veranclassic 2018,2018-12-31,cycling team season,2018 Grand Prix de Denain,Frédéric Amorison,WB-Veranclassic-Aqua Protect 2017,Wallonie Bruxelles 2019
Rally Cycling 2018,2018-12-31,cycling team season,2018 Tour de Langkawi stage 3,Jonas Carney,Rally 2017,Rally UHC Cycling Women 2019
Nippo-Vini Fantini-Europa Ovini 2018,2018-12-31,cycling team season,2018 Tour of Croatia stage 2,Francesco Pelosi,Nippo-Vini Fantini 2017,2019 Nippo-Vini Fantini-Faizanè
Hagens Berman Axeon 2018,2018-12-31,cycling team season,2018 Dorpenomloop Rucphen,Axel Merckx,Axeon-Hagens Berman 2017,Hagens Berman Axeon 2019
Cofidis 2018,2018-12-31,cycling team season,"2018 Tour La Provence, Stage 1",Cédric Vasseur,Cofidis 2017,Cofidis 2019
Caja Rural-Seguros RGA 2018,2018-12-31,cycling team season,2018 Vuelta a España stage 13,Juan Manuel Hernández,Caja Rural-Seguros RGA 2017,2019 Caja Rural-Seguros RGA
