col0,col1,col2
Maljarka,2006-01-01,Estonia
Iceland Dance Company,1973-01-01,Iceland
IRIE! dance theatre,1985-01-01,United Kingdom
West End Kids,2001-01-01,United Kingdom
L.A. Dance Project,2012-01-01,United States of America
Oslo Danse Ensemble,1994-01-01,Norway
Small Stage,2002-01-01,Canada
Danny Grossman Dance Company,1977-01-01,Canada
Ukrainian Shumka Dancers,1959-01-01,Canada
Vertigo,1992-01-01,Israel
Restless Dance Theatre,1991-01-01,Australia
Leigh Warren & Dancers,1993-01-01,Australia
Kage Physical Theatre,1996-01-01,Australia
Ballet Stagium,1971-01-01,Brazil
Six D,2011-01-01,United Kingdom
Phoenix Dance Theatre,1981-01-01,United Kingdom
London Contemporary Dance Theatre,1967-01-01,United Kingdom
Whim W'Him,2009-01-01,United States of America
