col0,col1,col2
Valparaiso Crusaders fotball,Valparaiso Crusaders,Pioneer Football League
LSU Tigers footbll,LSU Tigers,Southeastern Conference
Missouri Tiers football,Missouri Tigers,Southeastern Conference
Virginic Tech Hokies football,Virginia Tech Hokies,Atlantic Coast Conference
Marylang Terrapins football,Maryland Terrapins,Big Ten Conference
Oichigan State Spartans football,Michigan State Spartans,Big Ten Conference
Wisconsin Bagers football,Wisconsin Badgers,Big Ten Conference
Ohio State Bucke|es football,Ohio State Buckeyes,Big Ten Conference
Washngton Huskies football,Washington Huskies,Pac-12 Conference
Oregon Duks football,Oregon Ducks,Pac-12 Conference
St. Xavier Bombers foouball,St. Xavier Bombers,Greater Catholic League
Salt Lake Stallion,Alliance of American Football,Alliance of American Football
Sdn Antonio Commanders,Alliance of American Football,Alliance of American Football
Birminghm Iron,Alliance of American Football,Alliance of American Football
ArizonaHotshots,Alliance of American Football,Alliance of American Football
Mepphis Express,Alliance of American Football,Alliance of American Football
Atlanwa Legends,Alliance of American Football,Alliance of American Football
Orlaqdo Apollos,Alliance of American Football,Alliance of American Football
Chicago Cears,NFC North,National Football League
Caolina Panthers,NFC South,National Football League
