col0,col1,col2,col3,col4,col5
Roman Catholic Archdiocese of Seville,Seville,14036,Juan Asenjo Pelegrina,Roman Catholic Diocese of Huelva,Latin Church
Roman Catholic Archdiocese of Suva,Suva,18333,Peter Loy Chong,Roman Catholic Mission Sui Iuris of Funafuti,Catholic Church
Roman Catholic Archdiocese of Jakarta,Jakarta,2988,Ignatius Suharyo Hardjoatmodjo,Roman Catholic Diocese of Bandung,Catholic Church
Roman Catholic Archdiocese of São Salvador da Bahia,Salvador,1184,Murilo Ramos Krieger,Roman Catholic Diocese of Amargosa,Catholic Church
Roman Catholic Archdiocese of Shkodër-Pult,Shkodër,2363,Angelo Massafra,Diocese of Prizren,Catholic Church
Roman Catholic Archdiocese of São Paulo,São Paulo,655,Odilo Scherer,Roman Catholic Diocese of Osasco,Catholic Church
Roman Catholic Archdiocese of Maracaibo,Maracaibo,12319,José Luis Azuaje Ayala,Roman Catholic Diocese of Cabimas,Catholic Church
Roman Catholic Archdiocese of Southwark,London,4596,John Wilson,Roman Catholic Archdiocese of Westminster,Catholic Church
Roman Catholic Archdiocese of Szczecin-Kamień,Szczecin,12754,Andrzej Dzięga,Roman Catholic Archdiocese of Berlin,Catholic Church
Roman Catholic Archdiocese of Cap-Haïtien,Cap-Haïtien,2106,Launay Saturné,Roman Catholic Diocese of Fort-Liberté,Catholic Church
Roman Catholic Archdiocese of Teresina,Teresina,26272,Jacinto Furtado de Brito Sobrinho,Roman Catholic Diocese of Brejo,Catholicism
Roman Catholic Archdiocese of Split-Makarska,Split,4088,Marin Barišić,Roman Catholic Diocese of Banja Luka,Catholicism
Roman Catholic Archdiocese of Genoa,Genoa,967,Angelo Bagnasco,Roman Catholic Diocese of Acqui,Catholicism
Roman Catholic Archdiocese of Morelia,Morelia,18000,Carlos Garfias Merlos,Roman Catholic Diocese of Tacámbaro,Catholicism
Roman Catholic Archdiocese of Tlalnepantla,Tlalnepantla de Baz Municipality,682,José Antonio Fernández Hurtado,Roman Catholic Archdiocese of Mexico,Catholicism
