col0,col1,col2,col3
Pudasjärvi parish,Kurenalus,Pudasjärvi,parish
Tyrnävä Parish,Tyrnävä village,Tyrnävä,parish
Liminka Parish,Liminka,Liminka,parish
Pälkäne Parish,Pälkäne,Pälkäne,parish
Lumijoki Parish,Lumijoki,Lumijoki,parish
Kärsämäki Parish,Kärsämäki,Kärsämäki,parish
Kaustinen and Ullava Parish,Kaustinen,Central Ostrobothnia,parish
Janakkala Parish,Turenki,Janakkala,parish
Parish of the Exaltation of the Holy Cross Prostějov,Prostějov,Prostějov,parish
St. Liborius Parish,Jesenec,Jesenec,parish
Saint-Nom-de-Marie,Saint-Nom-de-Marie Church,La Matapédia Regional County Municipality,parish
