col0,col1,col2,col3,col4
Finland at the 1992 Winter Olympics,Finland,winter sport,Finland at the 1994 Winter Olympics,Timo Blomqvist
Chile at the 1960 Summer Olympics,Chile,Olympic sport,Chile at the 1964 Summer Olympics,Marlene Ahrens
Norway at the 1984 Winter Olympics,Norway,winter sport,Norway at the 1988 Winter Olympics,Bjørg Eva Jensen
Soviet Union at the 1972 Summer Olympics,Soviet Union,Olympic sport,Soviet Union at the 1976 Summer Olympics,Aleksandr Medved
Netherlands at the 1976 Winter Olympics,Netherlands,Olympic sport,Netherlands at the 1980 Winter Olympics,Dianne de Leeuw
Netherlands at the 1998 Winter Olympics,Netherlands,winter sport,Netherlands at the 2002 Winter Olympics,Carla Zijlstra
Italy at the 1956 Winter Olympics,Italy,winter sport,Italy at the 1960 Winter Olympics,Nilo Zandanel
Soviet Union at the 1980 Summer Olympics,Soviet Union,Olympic sport,Soviet Union at the 1988 Summer Olympics,Nikolay Balboshin
Italy at the 1952 Winter Olympics,Italy,winter sport,Italy at the 1956 Winter Olympics,Maria Grazia Marchelli
Finland at the 1960 Winter Olympics,Finland,winter sport,Finland at the 1964 Winter Olympics,Paavo Korhonen
Norway at the 2010 Winter Olympics,Norway,Olympic sport,Norway at the 2014 Winter Olympics,Tommy Jakobsen
Norway at the 2006 Winter Olympics,Norway,Olympic sport,Norway at the 2010 Winter Olympics,Pål Trulsen
Norway at the 1972 Winter Olympics,Norway,winter sport,Norway at the 1976 Winter Olympics,Magnar Solberg
Soviet Union at the 1968 Summer Olympics,Soviet Union,Olympic sport,Soviet Union at the 1972 Summer Olympics,Leonid Zhabotinsky
Russia at the 2006 Winter Olympics,Russia,Olympic sport,Russia at the 2010 Winter Olympics,Dmitry Dorofeyev
Norway at the 1924 Winter Olympics,Norway,Olympic sport,Norway at the 1928 Winter Olympics,Harald Strøm
Norway at the 1976 Winter Olympics,Norway,Olympic sport,Norway at the 1980 Winter Olympics,Pål Tyldum
Netherlands at the 1980 Winter Olympics,Netherlands,winter sport,Netherlands at the 1984 Winter Olympics,Piet Kleine
Finland at the 1936 Winter Olympics,Finland,Olympic sport,Finland at the 1948 Winter Olympics,Sulo Nurmela
Eritrea at the 2004 Summer Olympics,Eritrea,Olympic sport,Eritrea at the 2008 Summer Olympics,Yonas Kifle
Russia at the 1994 Winter Olympics,Russia,winter sport,Russia at the 1998 Winter Olympics,Sergey Tchepikov
Norway at the 1998 Winter Olympics,Norway,winter sport,Norway at the 2002 Winter Olympics,Espen Bredesen
Norway at the 1968 Winter Olympics,Norway,winter sport,Norway at the 1972 Winter Olympics,Bjørn Wirkola
Finland at the 2010 Winter Olympics,Finland,Olympic sport,Finland at the 2014 Winter Olympics,Ville Peltonen
Norway at the 1936 Winter Olympics,Norway,Olympic sport,Norway at the 1948 Winter Olympics,Ivar Ballangrud
India at the 2012 Summer Olympics,India,Olympic sport,India at the 2016 Summer Olympics,Sushil Kumar
Lebanon at the 2000 Summer Olympics,Lebanon,Olympic sport,Lebanon at the 2004 Summer Olympics,Jean-Claude Rabbath
Finland at the 1980 Winter Olympics,Finland,winter sport,Finland at the 1984 Winter Olympics,Heikki Ikola
