col0,col1,col2
Centre for the Study of Professions,profession,1999-01-01
Beckman Center for Molecular and Genetic Medicine,medicine,1989-01-01
Stanford Artificial Intelligence Laboratory,engineering,1963-01-01
Global Development and Environment Institute,economics,1993-01-01
Hopkins Marine Station,science,1891-01-01
CARRS-Q,road traffic safety,1996-01-01
Hellenic instute of byzantine and post-byzantine studies,byzantine studies,1951-01-01
Centro de Ciencias Humanas y Sociales,social science,2007-10-01
Center for Advanced Study in the Behavioral Sciences,social science,1954-01-01
Center of Mathematical Sciences at Zhejiang University,mathematics,2002-08-01
Kavli Institute for Particle Astrophysics and Cosmology,science,2003-01-01
Energy Modeling Forum,science,1976-01-01
Harriman Institute,Russia,1946-01-01
Watson Institute for International Studies,international studies,1979-01-01
"Oriental Institute, ASCR",Oriental studies,1922-01-01
Melbourne Bioinformatics,bioinformatics,2008-01-01
Stanford Institute for Economic Policy Research,social science,1982-01-01
Archive and Research Centre for Women's History,women's history,1995-01-01
Center for Hellenic Studies,Hellenic studies,2015-12-01
Center for Education Policy Analysis,social science,2009-01-01
