col0,col1,col2,col3,col4
A Phase III Study of Apixaban in Patients With Atrial Fibrillation,6421,Hong Kong,aspirin,2010-11-30
"Defining the Optimal Duration of Treatment for ""Low-Risk"" Peritoneal Dialysis-Related Peritonitis",310,Hong Kong,antibiotic,2022-03-31
Intestinal Microbiota and Antimicrobial Resistance,200,Hong Kong,antibiotic,2021-05-31
Intestinal Microbiota and Antimicrobial Resistance in Hong Kong Residents After Travel,400,Hong Kong,antibiotic,2021-08-31
A Multi-level Antimicrobial Surface Coating for a Healthier Environment,76,Hong Kong,antibiotic,2018-03-30
Safety and Effectiveness of Alendronate for Bone Mineral Density in HIV-infected Children and Adolescents,52,Puerto Rico,calcium carbonate,2016-01-01
High Dose Vitamin D and Calcium for Bone Health in Individuals Initiating HAART,167,Puerto Rico,calcium carbonate,2013-02-01
A Study of a GLP-1 Analogue in Patients With Type 2 Diabetes Treated With Metformin.,306,Hong Kong,metformin,2007-11-01
A Glycemic Control Evaluation of Glimepiride Versus Rimonabant on Top of Metformin in Type 2 Diabetes,508,Puerto Rico,metformin,2008-11-01
Efficacy of Exenatide Once Weekly and Once-Daily Insulin Glargine in Patients With Type 2 Diabetes Treated With Metformin Alone or in Combination With Sulfonylurea (DURATION - 3),467,Puerto Rico,metformin,2009-05-01
An Efficacy & Safety Study of BMS-512148 in Combination With Metformin Extended Release Tablets,994,Puerto Rico,metformin,2009-08-01
Efficacy and Safety of Semaglutide Once Weekly Versus Insulin Glargine Once Daily as add-on to Metformin With or Without Sulphonylurea in Insulin-naïve Subjects With Type 2 Diabetes,1089,Puerto Rico,metformin,2015-09-03
"Safety and Immunogenicity Study of Two Doses of an Inactivated H5N1 Influenza Vaccine (Whole Virion, Vero Cell Derived)",110,Hong Kong,hemagglutinin,2007-09-01
Phase 3 Study of ThermoDox With Radiofrequency Ablation (RFA) in Treatment of Hepatocellular Carcinoma (HCC),701,Hong Kong,doxorubicin,2013-01-01
Phase 2 Study of VELCADE (Bortezomib) in Patients With Relapsed Follicular Lymphoma,55,Puerto Rico,doxorubicin,2011-02-01
A Randomized Trial of Ixempra Versus Taxol in Adjuvant Therapy of Triple Negative Breast Cancer,614,Puerto Rico,doxorubicin,2015-12-01
Evaluation of Insulin Glargine in Combination With Sitagliptin in Type 2 Diabetes Patients: EASIE Extension Trial,112,Hong Kong,metformin,2011-09-01
A Study to Compare Taspoglutide and Insulin Glargine in Insulin-Naïve Patients With Type 2 Diabetes Mellitus Inadequately Controlled on Metformin and Sulfonylurea Combination Therapy,370,Hong Kong,metformin,2010-12-01
Efficacy and Safety of Alogliptin Plus Metformin Compared to Glipizide Plus Metformin in Patients With Type 2 Diabetes Mellitus,2639,Puerto Rico,metformin,2012-10-01
The Effect of Insulin Detemir in Combination With Liraglutide and Metformin Compared to Liraglutide and Metformin in Subjects With Type 2 Diabetes,987,Puerto Rico,metformin,2010-04-01
