col0,col1,col2,col3,col4
KIF Örebro DFF,association football,Örebro,1971-01-01,Damallsvenskan
Linköpings FC,association football,Linköping,2003-01-01,Damallsvenskan
Reign FC,association football,Tacoma,2012-01-01,National Women's Soccer League
Chicago Red Stars,women's association football,Chicago,2006-01-01,National Women's Soccer League
Boston Breakers,association football,Boston,2008-10-26,National Women's Soccer League
FC NSA Sofia,association football,Sofia,1942-01-01,Bulgarian women's football championship
RTP Unia Racibórz,association football,Racibórz,1997-01-01,Ekstraliga Kobiet
Millwall Lionesses L.F.C.,association football,Millwall,1972-01-01,FA WSL
Liverpool L.F.C.,association football,Liverpool,1989-01-01,FA WSL
Birmingham City L.F.C.,association football,Birmingham,1968-01-01,FA WSL
PSV Vrouwen,association football,Eindhoven,2012-06-04,BeNe League
Standard Liège,association football,Liège,1971-01-01,BeNe League
USC Landhaus Wien,association football,Floridsdorf,1968-01-01,ÖFB-Frauenliga
AFC Ajax Vrouwen,association football,Amsterdam,2012-05-18,Eredivisie
MTV Wolfenbüttel,association football,Wolfenbüttel,1848-01-01,Landesliga Braunschweig
Fortuna Hjørring,association football,Hjørring,1966-10-28,Elitedivisionen
Bramfelder SV,association football,Hamburg,1945-01-01,2. Fußball-Bundesliga
1. FC Lübars,association football,Germany,1962-01-01,2. Fußball-Bundesliga
Athletic Club,association football,Bilbao,2002-01-01,Primera División
RCD Espanyol,association football,Barcelona,1970-01-01,Primera División
