col0,col1,col2,col3,col4,col5,col6,col7
"Oake, Bradford and Nynehead VC Primary",Church of England,2010-09-01,United Kingdom,Diocese of Bath and Wells,Somerset,primary school,Taunton
Oakmeadow Church of England Primary and Nursery School,Church of England,2009-09-01,United Kingdom,Diocese of Lichfield,Shropshire,primary school,Bayston Hill
Bellefield Primary and Nursery School,Church of England,2008-01-01,United Kingdom,Diocese of Salisbury,Wiltshire,primary school,Trowbridge
St Catherine's CofE,Church of England,2007-09-01,United Kingdom,Diocese of Worcester,Worcestershire,primary school,Kidderminster
St Peter's Anglican / Methodist VC Primary,Church of England,2007-09-01,United Kingdom,Diocese of Bristol,South Gloucestershire,primary school,Pilning
Roxwell Church of England Voluntary Controlled Primary School,Church of England,1900-01-01,United Kingdom,Diocese of Chelmsford,Essex,primary school,Roxwell
St Mary's Church of England Primary School,Church of England,1997-09-01,United Kingdom,Diocese of Birmingham,Birmingham,voluntary controlled school,Selly Oak
Flushing School,Church of England,1900-01-01,United Kingdom,Diocese of Truro,Cornwall,voluntary controlled school,Falmouth
Manor Church of England Infant School,Church of England,2012-09-01,United Kingdom,Diocese of Winchester,Hampshire,voluntary controlled school,Holbury
Thatcham Park CofE Primary,Church of England,2005-09-01,United Kingdom,Diocese of Oxford,West Berkshire,voluntary controlled school,Thatcham
Polehampton Church of England Junior School,Church of England,2005-01-01,United Kingdom,Diocese of Oxford,Wokingham,voluntary controlled school,Twyford
Micheldever CofE Primary School,Church of England,2001-09-01,United Kingdom,Diocese of Winchester,Hampshire,voluntary controlled school,Micheldever
All Saints Upton Church of England Voluntary Controlled Primary School,Church of England,1997-09-01,United Kingdom,Anglican Diocese of Liverpool,Halton,voluntary controlled school,Widnes
