col0,col1,col2,col3
"Jack Pease, 1st Baron Gainford","Joseph Albert Pease, 1st Baron Gainford","Joseph Pease, 2nd Baron Gainford",Liberal Party
"Henry Parnell, 1st Baron Congleton",Henry Brook Parnell,"John Parnell, 2nd Baron Congleton",Whigs
Eleanor Roosevelt,Anna Eleanor Roosevelt,Franklin Delano Roosevelt Jr.,Democratic Party
Beatrice Wright,Beatrice Frederika Clough,Tim Rathbone,Conservative Party
Donald Trump Jr.,Donald John Trump,Kai Madison Trump,Republican Party
Woody Johnson,Robert Wood Johnson,Casey Johnson,Republican Party
Donald Trump,Donald John Trump,Ivanka Trump,Republican Party
James Madison,"James Madison, Jr.",John Payne Todd,Democratic-Republican Party
Madonna,Madonna Louise Ciccone,Lourdes Leon,Democratic Party
Beyoncé,Beyoncé Giselle Knowles,Blue Ivy Carter,Democratic Party
Lyndon B. Johnson,Lyndon Baines Johnson,Luci Baines Johnson,Democratic Party
Cher,Cherilyn Sarkisian,Chaz Bono,Democratic Party
Robert F. Kennedy,Robert Francis Kennedy,Rory Kennedy,Democratic Party
Mike Pence,Michael Richard Pence,Charlotte Pence,Republican Party
Chester A. Arthur,Chester Alan Arthur,Chester Alan Arthur II,Republican Party
Herbert Hoover,Herbert Clark Hoover,Allan Hoover,Republican Party
Gerald Ford,Leslie Lynch King Jr.,Steven Ford,Republican Party
John McCain,John Sidney McCain III,Meghan McCain,Republican Party
John Wayne,Marion Robert Morrison,Ethan Wayne,Republican Party
Ronald Reagan,Ronald Wilson Reagan,Ron Reagan,Republican Party
