col0,col1,col2,col3,col4
La Nef,1988-01-01,France,Vaulx-en-Velin,association under the French law of 1901
Biocoop,2005-01-01,France,Paris,association under the French law of 1901
FaSinPat,1979-01-01,Argentina,Neuquén,public company
Fonterra,2001-10-16,New Zealand,Auckland,public company
Damdaran Company,1983-01-01,Iran,Tehran,public company
Mihan Company,1977-01-01,Iran,Tehran,public company
Co-op Kobe,1921-04-12,Japan,Kōbe,consumer cooperative
Co-op Sapporo,1965-07-18,Japan,Sapporo,consumer cooperative
Tigre de Paper Edicions,2011-09-01,Spain,Manresa,juridical person
Swedish News Agency,1921-01-01,Sweden,Stockholm,joint-stock company
UNI Financial Cooperation,1946-01-01,Canada,Caraquet,cooperative
"OCLC, Inc.",1967-07-05,United States of America,Dublin,cooperative
Mondragon Corporation,1956-01-01,Spain,Mondragón,cooperative
GDW-Nord,1993-01-01,Germany,Rendsburg,cooperative
Badischer Winzerkeller,1952-01-01,Germany,Breisach,cooperative
Mlekovita,2001-12-19,Poland,Wysokie Mazowieckie,cooperative
Miyagi Co-op,1982-03-21,Japan,Sendai,cooperative
Uloba,1991-10-17,Norway,Drammen,cooperative
Co-operative College,1919-01-01,United Kingdom,Manchester,cooperative
Cooperativa Obrera Tarraconense,1904-01-01,Spain,Tarragona,cooperative
