col0,col1,col2
Apostolic Nunciature to Madagascar,Antananarivo,Madagascar
Apostolic Nunciature to Guinea,Conakry,Guinea
Apostolic Nunciature to the Democratic Republic of the Congo,Kinshasa,Democratic Republic of the Congo
Apostolic Nunciature to Burundi,Bujumbura,Burundi
Apostolic Nunciature to the Central African Republic,Bangui,Central African Republic
Apostolic Nunciature to the Philippines,Manila,Philippines
Apostolic Nunciature to Angola,Luanda,Angola
Apostolic Nunciature to Bangladesh,Dhaka,Bangladesh
Apostolic Nunciature to Thailand,Bangkok,Thailand
Apostolic Nunciature to Pakistan,Islamabad,Pakistan
Apostolic Nunciature to Israel,Jaffa,Israel
Apostolic Nunciature to Costa Rica,San José,Costa Rica
Apostolic Nunciature to Iraq,Baghdad,Iraq
Apostolic Nunciature to Guatemala,Guatemala City,Guatemala
Apostolic Nunciature to Algeria,Algiers,Algeria
Apostolic Nunciature to South Africa,Pretoria,South Africa
Apostolic Nunciature to Kazakhstan,Nur-Sultan,Kazakhstan
Apostolic Nunciature to Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina
Apostolic Nunciature to Albania,Tirana,Albania
Apostolic Nunciature to Czech Republic,Prague,Czech Republic
