col0,col1,col2
Bochum University of Applied Sciences,475,6047
Amberg Institute for Energy Technology,248,3500
college 21,77,1000
Aschaffenburg University of Applied Sciences,298,2867
University of Applied Sciences,160,2692
University of Applied Sciences Fliedner Fachhochschule,50,268
Fachhochschule für die Wirtschaft,26,473
Private Hochschule für Wirtschaft und Technik,40,700
University of Applied Sciences Meissen,86,648
"FH Diakonie, Bielefeld",30,559
Hochschule Stralsund,240,2453
Schmalkalden University of Applied Sciences,227,2836
Fachhochschule Lübeck,441,4339
Fachhochschule Kiel,466,7772
FH Aachen,930,13671
Hochschule Geisenheim University,434,1100
Alice Salomon University,143,3051
Westphalian University of Applied Sciences Gelsenkirchen Bocholt Recklinghausen,668,8357
Technische Hochschule Georg Agricola,252,2178
Swiss School of Tourism and Hospitality,116,300
