col0,col1,col2,col3,col4
Centre de recherche et de documentation des Amériques,Institut des hautes études de l'Amérique latine,Paris,2010-01-01,University of Paris III: Sorbonne Nouvelle
CEFRES,Instituts Français de Recherche à l'Etranger,Prague,1991-01-01,National Center for Scientific Research
IDEES,Normandy University,Mont-Saint-Aignan,1996-01-01,Normandy University
CIRAD-FLHOR,Centre de coopération internationale en recherche agronomique pour le développement,Montpellier,1993-01-01,Centre de coopération internationale en recherche agronomique pour le développement
Inria Saclay - Île-de-France Research Centre,Inria,Palaiseau,2008-01-01,Inria
Center for Research in Economics and Statistics,Groupe des écoles nationales d'économie et statistique,Malakoff,2011-01-01,National Center for Scientific Research
Institut de recherche en informatique et systèmes aléatoires,University of Rennes 1,Rennes,1975-01-01,University of Southern Brittany
Orsay Nuclear Physics Institute,Institut national de physique nucléaire et de physique des particules,Orsay,1956-01-01,National Center for Scientific Research
Center for Research in Economics and Statistics,Groupe des écoles nationales d'économie et statistique,Malakoff,2011-01-01,Groupe des écoles nationales d'économie et statistique
Orsay Nuclear Physics Institute,Institut national de physique nucléaire et de physique des particules,Orsay,1956-01-01,Institut national de physique nucléaire et de physique des particules
