col0,col1,col2
Levis,1911-01-01,United Kingdom
Alert,1903-01-01,United Kingdom
FMT spol.,2007-04-04,Czech Republic
Wearwell,1889-01-01,United Kingdom
Harris Performance Products,1972-01-01,United Kingdom
Plasson,1964-01-01,France
Onoto,1906-01-01,France
Midual,1992-01-01,France
Necchi,1919-01-01,Italy
Ceccato motorcycles,1938-01-01,Italy
Dot Cycle and Motor Manufacturing Company,1903-01-01,United Kingdom
Aermacchi,1912-01-01,Italy
Batavus,1904-01-01,Netherlands
Aeromere/Capriolo,1948-01-01,Italy
ATK motorcycles,1980-01-01,United States of America
Pullin-Groom,1920-01-01,United Kingdom of Great Britain and Ireland
Favor,1898-01-01,France
Alphonse Thomann,1908-01-01,France
Paton,1958-01-01,Italy
Hercules Cycle and Motor Company,1910-01-01,United Kingdom
