col0,col1,col2,col3,col4
Parnawa Voivodeship,1621-01-01,Duchy of Livonia,Duchy of Livonia,1598-01-01
Dorpat Voivodeship,1621-01-01,Duchy of Livonia,Duchy of Livonia,1598-01-01
Belz Voivodeship,1793-01-01,Lesser Poland Province of the Polish Crown,Crown of the Kingdom of Poland,1462-01-01
Lublin Voivodeship,1795-01-01,Lesser Poland Province of the Polish Crown,Crown of the Kingdom of Poland,1474-01-01
Chernihiv Voivodeship,1654-01-01,Lesser Poland Province of the Polish Crown,Crown of the Kingdom of Poland,1635-01-01
Kraków Voivodeship,1795-01-01,Lesser Poland Province of the Polish Crown,Crown of the Kingdom of Poland,1314-01-01
Kalisz Voivodeship,1793-01-01,Greater Poland Province,Crown of the Kingdom of Poland,1314-01-01
Płock Voivodeship,1793-01-01,Greater Poland Province,Crown of the Kingdom of Poland,1495-01-01
Masovian Voivodeship,1795-01-01,Greater Poland Province,Crown of the Kingdom of Poland,1526-01-01
Inowrocław Voivodeship,1772-01-01,Greater Poland Province,Crown of the Kingdom of Poland,1400-01-01
Gniezno Voivodeship,1793-01-01,Greater Poland Province,Crown of the Kingdom of Poland,1768-01-01
Łęczyca Voivodeship,1793-01-01,Greater Poland Province,Crown of the Kingdom of Poland,1339-01-01
Malbork Voivodeship,1772-01-01,Greater Poland Province,Crown of the Kingdom of Poland,1466-01-01
Ruthenian Voivodeship,1772-01-01,Kingdom of Poland,Crown of the Kingdom of Poland,1366-01-01
