col0,col1,col2,col3,col4
Colegio Mayor Universitario Isabel de España,Madrid,Spain,Complutense University of Madrid,1956-01-01
Colegio Mayor Universitario Elías Ahúja,Madrid,Spain,Complutense University of Madrid,1969-11-06
Colegio Mayor Universitario Chaminade,Madrid,Spain,Complutense University of Madrid,1966-01-01
Colegio Mayor Loyola (Madrid),Madrid,Spain,Complutense University of Madrid,1969-01-01
Colegio Mayor Diego de Covarrubias,Madrid,Spain,Complutense University of Madrid,1952-01-01
Colegio Mayor Antonio de Nebrija,Madrid,Spain,Complutense University of Madrid,1951-01-01
Colegio Mayor Alcalá,Madrid,Spain,Complutense University of Madrid,1967-01-01
Colegio Mayor Universitario San Juan Evangelista,Madrid,Spain,Complutense University of Madrid,1966-01-01
Colegio Mayor Universitario Santa María de Europa,Madrid,Spain,Complutense University of Madrid,1947-11-23
Colegio Mayor Universitario San Pablo,Madrid,Spain,CEU San Pablo University,1951-03-07
"St. Columba's College, Hazaribagh",Jharkhand,India,Vinoba Bhave University,1899-01-01
Colegio Mayor Azarbe,Murcia,Spain,University of Murcia,1935-01-01
"International House, The University of Sydney",New South Wales,Australia,University of Sydney,1967-01-01
Wesley College,New South Wales,Australia,University of Sydney,1917-01-01
"The Women's College, University of Sydney",New South Wales,Australia,University of Sydney,1892-01-01
Trinity College,Victoria,Australia,University of Melbourne,1872-01-01
Colegio Mayor Jorge Juan,Madrid,Spain,Complutense University of Madrid,1959-06-18
Colegio Mayor Universitario Pío XII,Madrid,Spain,Complutense University of Madrid,1961-10-11
