col0,col1,col2,col3,col4
An Investigational Immunotherapy Study of Nivolumab With Standard of Care Therapy vs Standard of Care Therapy for First-Line Treatment of Colorectal Cancer That Has Spread,180,Puerto Rico,fluorouracil,2021-08-16
Surgery With or Without Chemotherapy and Radiation Therapy in TreatingPatients With Stage I Rectal Cancer,320,Puerto Rico,fluorouracil,2004-04-01
Oxaliplatin Combined With Fluorouracil and Leucovorin in Treating Patients With Recurrent or Metastatic Cancer of the Esophagus or Stomach,35,Puerto Rico,fluorouracil,2002-10-01
A Study of Capecitabine (Xeloda) and Bevacizumab as a First-line Therapy in Patients With Metastatic Colorectal Cancer,2035,Puerto Rico,fluorouracil,2006-01-01
A Study of Xeloda (Capecitabine) in Patients With Metastatic Colorectal Cancer,627,Puerto Rico,fluorouracil,2006-08-01
Comparison of Combination Chemotherapy Regimens With or Without Cetuximab in Treating Patients Who Have Undergone Surgery For Stage III Colon Cancer,3397,Puerto Rico,fluorouracil,2012-11-01
"Tislelizumab in Combination With Chemotherapy as First-Line Treatment in Adults With Inoperable, Locally Advanced or Metastatic Gastric, or Gastroesophageal Junction Carcinoma",720,Puerto Rico,fluorouracil,2022-08-01
S9415 Chemotherapy in Patients With Stage II or III Colon Cancer That Has Been Surgically Removed,1135,Puerto Rico,fluorouracil,1999-12-01
Using Sorafenib as a Salvage Treatment for Relapsed or Refractory Acute Myeloid Leukemia Carrying FLT3 Internal Tandem Duplication (ITD),80,Hong Kong,niacinamide,2018-11-01
Postoperative Chemotherapy With or Without Bevacizumab for Patients With Stage II or III Rectal Cancer,355,Puerto Rico,fluorouracil,2015-04-01
"A Study to Evaluate the Pharmacokinetics, Safety, and Antiviral Activity of JNJ-63623872 in Combination With Oseltamivir in Adult, and Elderly Hospitalized Participants With Influenza A Infection",102,Hong Kong,oseltamivir,2017-02-24
Influenza Resistance Information Study,4561,Hong Kong,oseltamivir,2015-11-01
A Study on Higher-dose Oseltamivir Treatment's Impact on Viral Clearance and Clinical Recovery in Adults Hospitalized With Influenza,157,Hong Kong,oseltamivir,2012-06-01
A Study of MHAA4549A in Combination With Oseltamivir Versus Oseltamivir in Participants With Severe Influenza A Infection,168,Hong Kong,oseltamivir,2017-05-23
Treatment of Severe Influenza A Infection,100,Hong Kong,oseltamivir,2018-03-01
Aminosalicylic Acid Withdrawal Study in Long Standing Inactive Ulcerative Colitis,194,Hong Kong,aminosalicylic acid,2019-08-01
Pharmacokinetic Study of Antiretroviral Drugs and Related Drugs During and After Pregnancy,1786,Puerto Rico,aminosalicylic acid,2020-09-30
A Study Comparing Cardiovascular Effects of Ticagrelor Versus Placebo in Patients With Type 2 Diabetes Mellitus,19271,Puerto Rico,adenosine,2019-01-25
Moxifloxacin Versus Amoxicillin Clavulanic Acid in Treatment of Acute Exacerbation of Chronic Bronchitis,1372,Hong Kong,amoxicillin,2010-12-01
Evaluation of Efficacy and Safety of Peramivir in Adults With Acute Serious or Potentially Life-threatening Influenza,137,Hong Kong,oseltamivir,2008-09-01
"Study to Assess the Safety, Pharmacokinetics, and Efficacy of Baloxavir Marboxil in Healthy Pediatric Participants With Influenza-Like Symptoms",120,Puerto Rico,oseltamivir,2019-04-02
Anti-inflammatory Effects of Macrolide Treatment in Influenza Lower Respiratory Tract Infections,68,Hong Kong,non-steroidal anti-inflammatory drug,2016-04-01
"Zoledronic Acid in Treating Patients With Metastatic Breast Cancer, Metastatic Prostate Cancer, or Multiple Myeloma With Bone Involvement",1822,Puerto Rico,zoledronic acid,2014-06-01
Substance Misuse To Psychosis for Stimulants,240,Hong Kong,stimulant,2021-12-30
Study Comparing the Safety and Efficacy of Tigecycline With Ampicillin-Sulbactam or Amoxicillin-Clavulanate to Treat Skin Infections,550,Hong Kong,amoxicillin,2008-09-01
Open-Label Study of Intramuscular Olanzapine Depot in Patients With Schizophrenia or Schizoaffective Disorder,931,Puerto Rico,olanzapine,2010-12-01
"Trial of Maraviroc (UK-427,857) in Combination With Zidovudine/Lamivudine Versus Efavirenz in Combination With Zidovudine/Lamivudine",916,Puerto Rico,zidovudine,2007-04-01
Trial of Three Neonatal Antiretroviral Regimens for Prevention of Intrapartum HIV Transmission,1735,Puerto Rico,zidovudine,2011-02-01
"A Phase II Efficacy Study Comparing 2',3'-Dideoxyinosine (ddI) (BMY-40900) and Zidovudine Therapy of Patients With HIV Infection Who Have Been on Long Term Zidovudine Treatment",750,Puerto Rico,zidovudine,1992-03-01
"An Efficacy Study of 2',3'-Dideoxyinosine (ddI) (BMY-40900) Administered Orally Twice Daily to Zidovudine Intolerant Patients With AIDS or AIDS-Related Complex",660,Puerto Rico,zidovudine,1993-02-01
An Extension Study of Tocilizumab (Myeloma Receptor Antibody [MRA]) in Patients Completing Treatment in Tocilizumab Core Studies,2067,Puerto Rico,non-steroidal anti-inflammatory drug,2013-04-01
A Study Comparing Duloxetine Versus Placebo in Patients Taking a Nonsteroidal Anti-inflammatory Drug (NSAID) for Knee Pain Due to Osteoarthritis,524,Puerto Rico,non-steroidal anti-inflammatory drug,2011-04-01
Virologic and Immunologic Activity of Continued Lamivudine (3TC) vs Delavirdine (DLV) in Combination With Indinavir (IDV) and Zidovudine (ZDV) or Stavudine (d4T) in 3TC-Experienced Subjects,300,Puerto Rico,zidovudine,1999-05-01
Comparison of ddI Versus Zidovudine in HIV-Infected Patients,1500,Puerto Rico,zidovudine,1992-10-01
