col0,col1,col2,col3,col4,col5
Austrian men's U23 national road cycling team 2018,road bicycle racing,under-23 national cycling team,2018-01-01,Austria,Austrian men's U23 national road cycling team
Australian men's U23 national road cycling team 2018,road bicycle racing,under-23 national cycling team,2018-01-01,Australia,Australian men's U23 national road cycling team
Netherlands men's U23 national road cycling team 2011,road bicycle racing,under-23 national cycling team,2011-01-01,Netherlands,Netherlands men's U23 national road cycling team
South African men's U23 national road cycling team 2012,road bicycle racing,under-23 national cycling team,2012-01-01,South Africa,South African men's U23 national road cycling team
United States men's U23 national road cycling team 2012,road bicycle racing,under-23 national cycling team,2012-01-01,United States of America,United States men's U23 national road cycling team
Polish men's U23 national road cycling team 2012,road bicycle racing,under-23 national cycling team,2012-01-01,Poland,Polish men's U23 national road cycling team
Swiss men's U23 national road cycling team 2013,road bicycle racing,under-23 national cycling team,2013-01-01,Switzerland,Swiss men's U23 national road cycling team
Netherlands men's U23 national road cycling team 2013,road bicycle racing,under-23 national cycling team,2013-01-01,Netherlands,Netherlands men's U23 national road cycling team
Belgian men's U23 national road cycling team 2013,road bicycle racing,under-23 national cycling team,2013-01-01,Belgium,Belgian men's U23 national road cycling team
Italian men's U23 national road cycling team 2013,road bicycle racing,under-23 national cycling team,2013-01-01,Italy,Italian men's U23 national road cycling team
Ecuadoran men's U23 national road cycling team 2018,road bicycle racing,under-23 national cycling team,2018-01-01,Ecuador,Ecuadoran men's U23 national road cycling team
Rwandan men's U23 national road cycling team 2018,road bicycle racing,under-23 national cycling team,2018-01-01,Rwanda,Rwandan men's U23 national road cycling team
Spanish men's U23 national road cycling team 2013,road bicycle racing,under-23 national cycling team,2013-01-01,Spain,Spanish men's U23 national road cycling team
