col0,col1,col2,col3,col4,col5
Nitzanei Sinai,Ramat Negev Regional Council,1986-01-01,239,community settlement,Israel
Ein HaEmek,Megiddo Regional Council,1944-01-01,250,community settlement,Israel
Merkaz Hever,Gilboa Regional Council,1958-01-01,69,community settlement,Israel
Massad,Lower Galilee Regional Council,1983-01-01,259,community settlement,Israel
Neve Ziv,Ma'ale Yosef Regional Council,2000-01-01,212,community settlement,Israel
Giv'at Avni,Lower Galilee Regional Council,1991-01-01,279,community settlement,Israel
Bar Yohai,Merom HaGalil Regional Council,1977-01-01,692,community settlement,Israel
Gidona,Gilboa Regional Council,1949-01-01,-17,community settlement,Israel
Merhav Am,Ramat Negev Regional Council,2002-01-01,535,community settlement,Israel
Mitzpe Yeriho,Judea and Samaria Area,1977-01-01,160,community settlement,Israel
Alon HaGalil,Jezreel Valley Regional Council,1980-01-01,213,community settlement,Israel
Gita,Ma'ale Yosef Regional Council,1980-01-01,432,community settlement,Israel
Merkaz Omen,Gilboa Regional Council,1958-01-01,64,community settlement,Israel
Beit Hashmonay,Gezer Regional Council,1972-01-01,113,community settlement,Israel
