col0,col1,col2,col3
1. FC Nürnberg,1900-01-01,2. Bundesliga,Stadion Nürnberg
TTH Holstebro,2000-01-01,Danish Handball League,Gråkjær Arena
GOG Svendborg,2005-01-01,Danish Handball League,Gudme-Hallerne
PGE VIVE Kielce,1965-01-01,Polish Ekstraklasa Men's Handball League,Hall of the Legions
Dunkerque Handball Grand Littoral,1958-01-01,LNH Division 1,Stade des Flandres
HBC Nantes,1941-01-01,LNH Division 1,Palais des Sports de Beaulieu
Aalborg DH,2001-01-01,Danish Women's Handball League,Gigantium
Aalborg Håndbold,2000-01-01,Danish Handball League,Gigantium
Füchse Berlin Reinickendorf HBC,1891-01-01,Handball-Bundesliga,Max-Schmeling-Halle
Herning-Ikast Håndbold,1970-01-01,Danish Women's Handball League,Ikast-Brande Arena
Chambéry Savoie Handball,1983-01-01,LNH Division 1,Le Phare
Sporting CP (Handball),1932-01-01,Liga Portuguesa de Andebol,Pavilhão João Rocha
IF Fram Larvik,1894-01-01,2. Divisjon,Fram Stadion
US Ivry Handball,1947-01-01,LNH Division 1,Gymnase Auguste Delaune
KIF Kolding Copenhagen,2012-01-01,Danish Handball League,Brøndby Hallen
Wisła Płock,1964-01-01,Polish Ekstraklasa Men's Handball League,Orlen Arena
SC Magdeburg,1955-01-01,Handball-Bundesliga,GETEC Arena
Odense Håndbold,2009-01-01,Danish Women's Handball League,Odense Idrætshal
Grankulla IFK,1925-01-01,Kakkonen,Kauniaisten Keskuskenttä
Saint Petersburg HC,1964-01-01,Russian Handball Super League,Yubileyny Sports Palace
