col0,col1,col2,col3,col4,col5
CESR,Tours,1956-01-01,France,Benoist Pierre,National Center for Scientific Research
Marseille Cancer Research Center,9th arrondissement of Marseille,2012-01-01,France,Jean-Paul Borg,National Center for Scientific Research
Institute for Intelligent Systems and Robotics,5th arrondissement of Paris,2007-01-01,France,Raja Chatila,National Center for Scientific Research
Brain and Spine Institute,13th arrondissement of Paris,2010-09-24,France,Alexis Brice,National Center for Scientific Research
Institut Jean Le Rond d'Alembert,5th arrondissement of Paris,2007-01-01,France,Stéphane Zaleski,National Center for Scientific Research
centre André-Chastel,2nd arrondissement of Paris,2004-01-01,France,Alexandre Gady,National Center for Scientific Research
Centre de Sociologie de l'Innovation,Paris,1967-01-01,France,Hervé Dumez,École Polytechnique
Centre européen de sociologie et de science politique de la Sorbonne,13th arrondissement of Paris,2010-01-01,France,Jean-Louis Briquet,School for Advanced Studies in the Social Sciences
Institut Interdisciplinaire d'Anthropologie du Contemporain,9th arrondissement of Paris,2006-01-01,France,Claude Fischler,School for Advanced Studies in the Social Sciences
Observatory of Strasbourg,Strasbourg,1881-01-01,France,Pierre-Alain Duc,University of Strasbourg
Institute of Genetics and Molecular and Cellular Biology,Illkirch-Graffenstaden,1994-01-01,France,Bertrand Séraphin,University of Strasbourg
Centre de Recherches sur la Pensée Antique,Paris,1947-01-01,France,Jean-Baptiste Gourinat,École normale supérieure
Institut Jean Nicod,Paris,2002-01-01,France,François Recanati,École normale supérieure
HiSoMa,7th arrondissement of Lyon,2003-01-01,France,Stéphane Gioanni,Jean Moulin University - Lyon 3
Institut Charles Gerhardt,Montpellier,2006-01-01,France,Jean-Marie Devoisselle,University of Montpellier
Catalysis and Spectrochemistry Laboratory,Caen,1996-01-01,France,Frédéric Thibault-Starzyk,University of Caen Normandy
Centre d'Immunologie de Marseille-Luminy,9th arrondissement of Marseille,1976-01-01,France,Eric Vivier,National Center for Scientific Research
Nuclear Dynamics,Paris,2014-01-01,France,Geneviève Almouzni,National Center for Scientific Research
IDEES,Mont-Saint-Aignan,1996-01-01,France,Michel Bussi,National Center for Scientific Research
Institut de Sciences des Matériaux de Mulhouse,Mulhouse,2013-01-01,France,Cathie Vix-Guterl,Upper Alsace University
