col0,col1,col2
Scent Grass Lake Migratory Bird Sanctuary,IUCN category IV: Habitat/Species Management Area,Canadian Wildlife Service
Opuntia Lake Migratory Bird Sanctuary,IUCN category IV: Habitat/Species Management Area,Canadian Wildlife Service
Neely Lake Migratory Bird Sanctuary,IUCN category IV: Habitat/Species Management Area,Canadian Wildlife Service
Lenore Lake Migratory Bird Sanctuary,IUCN category IV: Habitat/Species Management Area,Canadian Wildlife Service
Basin and Middle Lakes Migratory Bird Sanctuary,IUCN category IV: Habitat/Species Management Area,Canadian Wildlife Service
Last Mountain Lake Migratory Bird Sanctuary,IUCN category IV: Habitat/Species Management Area,Canadian Wildlife Service
Mississippi Lake Migratory Bird Sanctuary,IUCN category IV: Habitat/Species Management Area,Canadian Wildlife Service
Old Wives Lake Migratory Bird Sanctuary,IUCN category IV: Habitat/Species Management Area,Canadian Wildlife Service
L'Isle-Verte Migratory Bird Sanctuary,IUCN category IV: Habitat/Species Management Area,Canadian Wildlife Service
Philipsburg Migratory Bird Sanctuary,IUCN category IV: Habitat/Species Management Area,Canadian Wildlife Service
Vaseux Lake Migratory Bird Sanctuary,IUCN category III: Natural Monument or Feature,Canadian Wildlife Service
Saskatoon Lake Migratory Bird Sanctuary,IUCN category III: Natural Monument or Feature,Canadian Wildlife Service
Upper Canada Migratory Bird Sanctuary,IUCN category III: Natural Monument or Feature,Canadian Wildlife Service
