col0,col1,col2,col3
Hassan Usman Katsina Polytechnic,Nigeria,1983-01-01,Katsina
Escuela Politécnica de Mieres,Spain,1855-04-01,Mieres
Polytechnic Institute of Bragança,Portugal,1983-01-01,Bragança
Ho Polytechnic,Ghana,1968-01-01,Ho
Kwara State Polytechnic,Nigeria,1973-01-01,Kwara State
Cooch Behar Polytechnic,India,1964-01-01,Cooch Behar
Ungku Omar Polytechnic,Malaysia,1969-06-02,Ipoh
Moshood Abiola Polytechnic,Nigeria,1980-01-01,Abeokuta
Wellington Institute of Technology,New Zealand,1904-01-01,Petone
Opole University of Technology,Poland,1966-01-01,Opole
NorthTec,New Zealand,1978-01-01,Northland Region
Guangdong Industry Polytechnic,People's Republic of China,1999-01-01,Guangzhou
Escuela Politécnica Superior de Ávila,Spain,1991-01-01,Ávila
Escuela Politécnica Superior de Jaén,Spain,1910-07-23,Jaén
Escuela Politécnica de Cáceres,Spain,1982-01-01,Cáceres
Escuela Politécnica Superior de Ingeniería de Villanueva y Geltrú,Spain,2003-01-01,Vilanova i la Geltrú
Escuela Politécnica de Cuenca,Spain,1994-11-01,Cuenca
Escuela Politécnica Superior de Santander,Spain,2013-01-01,Santander
Polytechnic School of Huesca,Spain,1968-01-01,Huesca
Escuela Superior Politécnica del TecnoCampus,Spain,1982-01-01,Mataró
