col0,col1,col2,col3
Knauf,Dynatek,2001-01-01,2007-01-01
Barloworld,Barloworld-Androni Giocattoli,2003-01-01,2009-01-01
Mercury Cycling Team,Mercury,1995-01-01,2002-01-01
Marco Polo Cycling-Donckers Koffie,Marco Polo,2003-01-01,2012-01-01
Jittery Joe's,Jittery Joe's,2002-01-01,2008-01-01
UnitedHealthcare,UnitedHealthcare,2003-01-01,2018-01-01
Capec,Capec,2004-01-01,2007-01-01
Jamis,Jamis,2003-01-01,2016-01-01
Successfulliving.com-Parkpre,Successfulliving.com-Parkpre,2004-01-01,2008-01-01
Cult Energy,Cult Energy,2000-01-01,2015-01-01
Stabil - Steiermark,Stabil - Steiermark,2000-01-01,2001-01-01
Men's Health,Men's Health,1999-01-01,1999-01-01
Hohenfelder - Concorde,Hohenfelder - Concorde,1999-01-01,2000-01-01
Crescent,Crescent,2000-01-01,2004-01-01
