col0,col1,col2,col3,col4,col5,col6
Big Bend National Park,IUCN category II: National Park,United States of America,Big Bend National Park,national park of the United States,National Park Service,Tentative World Heritage Site
White Sands National Park,IUCN category V: Protected Landscape/Seascape,United States of America,White Sands National Park,national park of the United States,National Park Service,Tentative World Heritage Site
Dry Tortugas National Park,IUCN category V: Protected Landscape/Seascape,United States of America,Dry Tortugas National Park,national park of the United States,National Park Service,National Historic Landmark
Great Basin National Park,IUCN category II: National Park,United States of America,Great Basin National Park,national park of the United States,National Park Service,International Dark Sky Park
Mount Rainier National Park,IUCN category II: National Park,United States of America,Mount Rainier National Park,national park of the United States,National Park Service,National Historic Landmark
Wrangell–St. Elias National Park and Preserve,IUCN category V: Protected Landscape/Seascape,United States of America,Wrangell–St. Elias National Park and Preserve,national park of the United States,National Park Service,part of World Heritage Site
Joshua Tree National Park,IUCN category II: National Park,United States of America,Joshua Tree National Park,national park of the United States,National Park Service,International Dark Sky Park
Great Sand Dunes National Park and Preserve,IUCN category V: Protected Landscape/Seascape,United States of America,Great Sand Dunes National Park and Preserve,national park of the United States,National Park Service,National Natural Landmark
Canyonlands National Park,IUCN category II: National Park,United States of America,Canyonlands National Park,national park of the United States,National Park Service,International Dark Sky Park
Great Smoky Mountains National Park,IUCN category II: National Park,United States of America,Great Smoky Mountains National Park,national park of the United States,National Park Service,UNESCO World Heritage Site
Olympic National Park,IUCN category II: National Park,United States of America,Olympic National Park,national park of the United States,National Park Service,UNESCO World Heritage Site
Petrified Forest National Park,IUCN category Ib: Wilderness Area,United States of America,Petrified Forest National Park,national park of the United States,National Park Service,Tentative World Heritage Site
Black Canyon of the Gunnison National Park,IUCN category II: National Park,United States of America,Black Canyon of the Gunnison National Park,national park of the United States,National Park Service,International Dark Sky Park
