col0,col1,col2,col3,col4,col5
Myreton Motor Museum,East Lothian,museum,Aberlady,United Kingdom,1966-01-01
Graz Tramway Museum,Graz,museum,Mariatrost,Austria,1971-01-01
Budapest Underground Railway Museum,Budapest V. District,museum,Budapest,Hungary,1975-01-01
Vadim Zadorogny Technical Museum,"Krasnogorsky District, Moscow Oblast",transport museum,Moscow Oblast,Russia,2001-01-01
Museum of Electrical Transport,Saint Petersburg,transport museum,Russia,Russia,2008-07-01
Vintage Motorcycle Museum,Chehalis,transport museum,Chehalis,United States of America,1979-01-01
Kaohsiung Harbor Museum,Gushan District,transport museum,Gushan District,Taiwan,1917-01-01
"The Transport Museum, Wythall",Wythall,transport museum,Wythall,United Kingdom,1978-01-01
Streetlife Museum of Transport,Kingston upon Hull,transport museum,Kingston upon Hull,United Kingdom,1989-01-01
London Canal Museum,Kings Cross,transport museum,Kings Cross,United Kingdom,1992-01-01
James Hall Transport Museum,Johannesburg,transport museum,Johannesburg,South Africa,1964-01-01
Honda Collection Hall,Motegi,transport museum,Motegi,Japan,1998-01-01
Metro Museum of St. Petersburg,Saint Petersburg,transport museum,Saint Petersburg,Russia,2005-01-01
