col0,col1,col2,col3,col4,col5,col6
Androni Giocattoli-Sidermec 2016,2016-12-31,UCI Professional Continental Team,"2016 Tour of China I, Stage 6",Gianni Savio,Androni Giocattoli-Sidermec 2015,Androni Giocattoli 2017
Direct Énergie 2016,2016-12-31,UCI Professional Continental Team,2016 Four Days of Dunkirk,Jean-René Bernaudeau,Europcar 2015,Direct Énergie 2017
Fortuneo-Vital Concept 2016,2016-12-31,UCI Professional Continental Team,2016 Grand Prix de Denain,Emmanuel Hubert,Bretagne-Séché Environnement 2015,Fortuneo-Oscaro 2017
Topsport Vlaanderen-Baloise 2015,2015-12-31,UCI Professional Continental Team,2015 Dwars door de Vlaamse Ardennen,Christophe Sercu,Topsport Vlaanderen-Baloise 2014,Topsport Vlaanderen-Baloise 2016
Delko-Marseille Provence-KTM 2018,2018-12-31,cycling team season,"2018 La Tropicale Amissa Bongo, Stage 2",Frédéric Rostaing,Delko-Marseille Provence-KTM 2017,Delko-Marseille Provence 2019
Israel Cycling Academy 2018,2018-12-31,cycling team season,2018 Tour de Taiwan stage 3,Ran Margaliot,Israel Cycling Academy 2017,2019 Israel Cycling Academy
Nippo-Vini Fantini 2017,2017-12-31,cycling team season,2017 Volta Limburg Classic,Francesco Pelosi,Nippo-Vini Fantini 2016,Nippo-Vini Fantini-Europa Ovini 2018
Direct Énergie 2017,2017-12-31,cycling team season,"2017 La Tropicale Amissa Bongo, Stage 2",Jean-René Bernaudeau,Direct Énergie 2016,Direct Énergie 2018
Delko-Marseille Provence-KTM 2018,2018-12-31,UCI Professional Continental Team,"2018 La Tropicale Amissa Bongo, Stage 2",Frédéric Rostaing,Delko-Marseille Provence-KTM 2017,Delko-Marseille Provence 2019
Israel Cycling Academy 2018,2018-12-31,UCI Professional Continental Team,2018 Tour de Taiwan stage 3,Ran Margaliot,Israel Cycling Academy 2017,2019 Israel Cycling Academy
Nippo-Vini Fantini 2017,2017-12-31,UCI Professional Continental Team,2017 Volta Limburg Classic,Francesco Pelosi,Nippo-Vini Fantini 2016,Nippo-Vini Fantini-Europa Ovini 2018
