col0,col1,col2,col3
Swiss Institute for Peace and Energy Research,2011-06-06,Switzerland,5
Research Institute of Brewing and Malting,1873-01-01,Czech Republic,59
The Russian State Center for Animal Feed and Drug Standardization and Quality,1931-01-01,Russia,518
Oxford Centre for Evidence-Based Medicine,1995-01-01,United Kingdom,25
Institute of Hydrobiology,1940-01-01,Ukraine,253
Institute of Botany,1921-01-01,Ukraine,261
Norwegian Institute for Water Research,1958-01-01,Norway,200
Nansen Environmental and Remote Sensing Center,1986-11-28,Norway,75
CICERO Center for International Climate Research,1990-04-05,Norway,70
King Saud University,1957-01-01,Saudi Arabia,6322
Industrial Research Limited,1992-04-01,New Zealand,350
Vinča Nuclear Institute,1948-01-01,Serbia,800
Institut für ökologische Wirtschaftsforschung GmbH,1985-01-01,Germany,44
Institut für industrielle Informationstechnik,2006-01-01,Germany,60
Institut für donauschwäbische Geschichte und Landeskunde,1987-07-01,Germany,11
Institut für Zukunftsstudien und Technologiebewertung,1981-01-01,Germany,36
Kiel Institute for the World Economy,1914-02-18,Germany,180
Leibniz Institute of Photonic Technology,1992-01-01,Germany,322
Peace Research Institute Frankfurt,1970-01-01,Germany,80
Leibniz Institute for Tropospheric Research,1992-01-01,Germany,180
