col0,col1,col2,col3,col4,col5
Urner Kantonalbank,1915-01-01,Cantonal bank,Switzerland,Altdorf,Verband Schweizerischer Kantonalbanken
Banque Cantonale du Valais,1917-01-01,Cantonal bank,Switzerland,Sion,Verband Schweizerischer Kantonalbanken
Thurgauer Kantonalbank,1871-01-01,Cantonal bank,Switzerland,Weinfelden,Verband Schweizerischer Kantonalbanken
St. Galler Kantonalbank,1868-01-01,Cantonal bank,Switzerland,St. Gallen,Verband Schweizerischer Kantonalbanken
Schwyzer Kantonalbank,1890-01-01,Cantonal bank,Switzerland,Schwyz,Verband Schweizerischer Kantonalbanken
Schaffhauser Kantonalbank,1883-01-01,Cantonal bank,Switzerland,Schaffhausen,Verband Schweizerischer Kantonalbanken
Nidwaldner Kantonalbank,1879-01-01,Cantonal bank,Switzerland,Stans,Verband Schweizerischer Kantonalbanken
Luzerner Kantonalbank,1850-01-01,Cantonal bank,Switzerland,Lucerne,Verband Schweizerischer Kantonalbanken
Graubündner Kantonalbank,1870-01-01,Cantonal bank,Switzerland,Chur,Verband Schweizerischer Kantonalbanken
Glarner Kantonalbank,1884-01-01,Cantonal bank,Switzerland,Glarus,Verband Schweizerischer Kantonalbanken
Freiburger Kantonalbank,1892-01-01,Cantonal bank,Switzerland,Fribourg,Verband Schweizerischer Kantonalbanken
Obwaldner Kantonalbank,1886-01-01,Cantonal bank,Switzerland,Sarnen,Verband Schweizerischer Kantonalbanken
Berner Kantonalbank,1834-01-01,Cantonal bank,Switzerland,Bern,Verband Schweizerischer Kantonalbanken
Basel Cantonal Bank,1899-01-01,Cantonal bank,Switzerland,Basel,Bundesverband Öffentlicher Banken Deutschlands
Basellandschaftliche Kantonalbank,1864-01-01,Cantonal bank,Switzerland,Liestal,Verband Schweizerischer Kantonalbanken
