col0,col1,col2
SV Energie Berlin (Abteilung Rudern),Berlin,Germany
Cambridge University Boat Club,Cambridgeshire,United Kingdom
Leander Club,Remenham,United Kingdom
Skadi,Rotterdam,Netherlands
Algemene Leidse Studenten Roeivereniging Asopos de Vliet,Leiderdorp,Netherlands
N.S.R.V. Phocas,Nijmegen,Netherlands
KRZV Het Spaarne,Heemstede,Netherlands
Galatasaray Rowing Team,Istanbul,Turkey
Steiner Ruderclub,Lower Austria,Austria
Ruderverein Wiking Linz,Upper Austria,Austria
Wiener Ruderclub Pirat,Vienna,Austria
Circolo Nautico Posillipo,Naples,Italy
Roeivereniging Leerdam,Leerdam,Netherlands
