col0,col1,col2,col3,col4
St. Amaro,Santo Amaro District,13.9,paper,Museu Paulista
Parada In St. Amaro,Santo Amaro District,8.8,paper,Museu Paulista
Domingo In St. Amaro,Santo Amaro District,8.8,paper,Museu Paulista
"Parelheiros, Casa do Sr. Gryschck",Parelheiros District,8.8,paper,Museu Paulista
Caminho Para Serraria,Parelheiros District,8.8,paper,Museu Paulista
Igreja In Parelheiros,Parelheiros District,8.8,paper,Museu Paulista
Parelheiros,Parelheiros District,8.8,paper,Museu Paulista
Serraria Parelheiros,Parelheiros District,8.8,paper,Museu Paulista
Vista aérea da Sé. São Paulo/Sp,Central Zone of São Paulo,6.0,paper,Museu Paulista
Vista aérea do Centro. São Paulo/Sp,Central Zone of São Paulo,6.1,paper,Museu Paulista
Vista aérea do Centro. São Paulo/Sp,Central Zone of São Paulo,6.0,paper,Museu Paulista
Vista aérea do Centro. São Paulo/Sp. 02,Central Zone of São Paulo,6.0,paper,Museu Paulista
Vista aérea do Centro. São Paulo/Sp,Central Zone of São Paulo,5.7,paper,Museu Paulista
Vista aérea do Estádio Paulo Machado de Carvalho (Pacaembu). São Paulo/Sp,Estádio do Pacaembu,6.0,paper,Museu Paulista
Vista aérea do Estádio Municipal Paulo Machado de Carvalho (Pacaembu). São Paulo/Sp,Estádio do Pacaembu,8.2,paper,Museu Paulista
Vista aérea do Ipiranga. São Paulo/Sp,Museu Paulista,6.0,paper,Museu Paulista
Gado no Bebedouro. São Paulo,livestock,9.2,collotype technique,Museu Paulista
Santos - Hôtel Guarujá,Santos,9.1,collotype technique,Museu Paulista
Santos - Guarujá,Santos,9.1,collotype technique,Museu Paulista
Panorama de São Paulo,panorama,9.0,collotype technique,Museu Paulista
