col0,col1,col2
Archeparchy of Asmara,"Kidane Mehret Cathedral, Asmara",Eritrea
Maronite Catholic Archeparchy of Damascus,Maronite Cathedral of Damascus,Syria
Melkite Catholic Archeparchy of Homs,Cathedral of Our Lady of Peace,Syria
Armenian Catholic Archeparchy of Aleppo,Cathedral Our Lady of Pity in Alep (Armenian Catholic),Syria
Syriac Catholic Archeparchy of Aleppo,Cathedral of the Assumption of Blessed Virgin Mary in Aleppo,Syria
Melkite Catholic Archeparchy of Laodicea,Greek-Melkite Cathedral of the Virgin Mary in Aleppo (Melkite Greek),Syria
Melkite Catholic Archeparchy of Aleppo,Greek-Melkite Cathedral of the Virgin Mary in Aleppo (Melkite Greek),Syria
Melkite Catholic Archeparchy of Damascus,Our Lady of the Assumption Cathedral,Syria
Maronite Catholic Archeparchy of Aleppo,Saint Elias Cathedral,Syria
Maronite Catholic Archeparchy of Beirut,Saint George Maronite Cathedral,Lebanon
Chaldean Catholic Archeparchy of Kirkuk,Sacred Heart Cathedral of Kirkuk,Iraq
Chaldean Catholic Archeparchy of Mosul,Saint Paul's Cathedral in Mosul,Iraq
Chaldean Catholic Archeparchy of Bagdad,Cathedral of Mary Mother of Sorrows,Iraq
Syro-Malankara Catholic Archeparchy of Tiruvalla,"St. John's Cathedral, Tiruvalla",India
Syro-Malankara Catholic Major Archeparchy of Trivandrum,"St. Mary's Cathedral, Pattom, Trivandrum",India
Archdiocese of Buzău and Vrancea,Cathedral of the Ascension in Buzău,Romania
Greek Catholic Archeparchy of Prešov,Temple of St. John the Baptist,Slovakia
Ukrainian Catholic Archeparchy of Ternopil–Zboriv,Dominican Church (Cathedral of the Immaculate Conception of the Holy Mother of God) Ternopil,Ukraine
Ukrainian Catholic Archeparchy of Kiev,Patriarchal Cathedral of the Resurrection of Christ,Ukraine
