col0,col1,col2,col3,col4,col5
Jönköping County Administrative Board,Sweden,Sweden,governor of Jönköping County,Jönköping County,Swedish government agency
Jämtland County Administrative Board,Sweden,Sweden,governor of Jämtland County,Jämtland County,Swedish government agency
Halland County Administrative Board,Sweden,Sweden,governor of Halland County,Halland County,Swedish government agency
Gotland County Administrative Board,Sweden,Sweden,governor of Gotland County,Gotland County,Swedish government agency
Dalarna County Administrative Board,Sweden,Sweden,governor of Dalarna County,Dalarna County,Swedish government agency
Blekinge County Administrative Board,Sweden,Sweden,governor of Blekinge County,Blekinge County,Swedish government agency
Västra Götaland County Administrative Board,Sweden,Sweden,governor of Västra Götaland county,Västra Götaland County,Swedish government agency
Västmanland County Administrative Board,Sweden,Sweden,governor of Västmanland County,Västmanland County,Swedish government agency
Västernorrland County Administrative Board,Sweden,Sweden,governor of Västernorrland County,Västernorrland County,Swedish government agency
Norrbotten County Administrative Board,Sweden,Sweden,governor of Norrbotten County,Norrbotten County,Swedish government agency
Kalmar County Administrative Board,Sweden,Sweden,governor of Kalmar County,Kalmar County,Swedish government agency
