col0,col1,col2,col3,col4,col5
Nitti I Cabinet,Francesco Saverio Nitti,Nitti II Cabinet,1919-06-23,Orlando Cabinet,Kingdom of Italy
Nitti II Cabinet,Francesco Saverio Nitti,Giolitti V Cabinet,1920-05-21,Nitti I Cabinet,Kingdom of Italy
La Marmora II Cabinet,Alfonso La Marmora,La Marmora III Cabinet,1864-09-28,Minghetti I Cabinet,Kingdom of Italy
Menabrea II Cabinet,Luigi Federico Menabrea,Menabrea III Cabinet,1868-01-05,Menabrea I Cabinet,Kingdom of Italy
La Marmora III Cabinet,Alfonso La Marmora,Ricasoli II Cabinet,1865-12-31,La Marmora II Cabinet,Kingdom of Italy
Salandra I Cabinet,Antonio Salandra,Salandra II Cabinet,1914-03-21,Giolitti IV Cabinet,Kingdom of Italy
Sonnino II Cabinet,Sidney Sonnino,Luzzatti Cabinet,1909-12-11,Giolitti III Cabinet,Kingdom of Italy
Fortis II Cabinet,Alessandro Fortis,Sonnino I Cabinet,1905-12-24,Fortis I Cabinet,Kingdom of Italy
Depretis V Cabinet,Agostino Depretis,Depretis VI Cabinet,1883-05-25,Depretis IV Cabinet,Kingdom of Italy
Cairoli I Cabinet,Benedetto Cairoli,Depretis III Cabinet,1878-03-24,Depretis II Cabinet,Kingdom of Italy
Crispi II Cabinet,Francesco Crispi,di Rudinì I Cabinet,1889-03-09,Crispi I Cabinet,Kingdom of Italy
Cavour IV Cabinet,Camillo Benso di Cavour,Ricasoli I Cabinet,1861-03-23,Cavour III Cabinet,Kingdom of Italy
Facta I Cabinet,Luigi Facta,Facta II Cabinet,1922-02-26,Bonomi I Cabinet,Kingdom of Italy
Bonomi III Cabinet,Ivanoe Bonomi,Parri Cabinet,1944-12-12,Bonomi II Cabinet,Kingdom of Italy
Ricasoli II Cabinet,Bettino Ricasoli,Rattazzi II Cabinet,1866-06-20,La Marmora III Cabinet,Kingdom of Italy
Giolitti II Cabinet,Giovanni Giolitti,Tittoni Cabinet,1903-11-03,Zanardelli Cabinet,Kingdom of Italy
Giolitti III Cabinet,Giovanni Giolitti,Sonnino II Cabinet,1906-05-29,Sonnino I Cabinet,Kingdom of Italy
Boselli Cabinet,Paolo Boselli,Orlando Cabinet,1916-06-18,Salandra II Cabinet,Kingdom of Italy
Farini Cabinet,Luigi Carlo Farini,Minghetti I Cabinet,1862-12-08,Rattazzi I Cabinet,Kingdom of Italy
Depretis I Cabinet,Agostino Depretis,Depretis II Cabinet,1876-03-25,Minghetti II Cabinet,Kingdom of Italy
