col0,col1,col2,col3,col4,col5,col6
Oratório de pousar com grupo escultórico religioso 02,1950-01-01,Museu do Diamante,77.2,30.5,Acervo do Museu do Diamante,Minas Gerais
Liteira,1948-01-01,Museu do Diamante,135.2,82.0,Acervo do Museu do Diamante,Minas Gerais
Leito de casal,1950-01-01,Museu do Diamante,187.0,115.5,Acervo do Museu do Diamante,Minas Gerais
Ex-voto 02,1954-01-01,Museu do Diamante,24.5,39.0,Acervo do Museu do Diamante,Minas Gerais
Ex-voto 01,1954-01-01,Museu do Diamante,22.4,31.5,Acervo do Museu do Diamante,Minas Gerais
Construção pictórica,1942-01-01,Museu do Diamante,33.5,27.7,Acervo do Museu do Diamante,Minas Gerais
Candeeiro,1944-01-01,Museu do Diamante,65.2,22.0,Acervo do Museu do Diamante,Minas Gerais
Fornilho de Cachimbo 04,1948-01-01,Museu do Diamante,4.0,4.0,Acervo do Museu do Diamante,Minas Gerais
Caçamba 02,1948-01-01,Museu do Diamante,6.3,9.5,Acervo do Museu do Diamante,Minas Gerais
Caçamba 01,1948-01-01,Museu do Diamante,11.0,11.0,Acervo do Museu do Diamante,Minas Gerais
Baú de viagem 02,1951-01-01,Museu do Diamante,41.2,66.2,Acervo do Museu do Diamante,Minas Gerais
Baú de viagem 01,1942-01-01,Museu do Diamante,49.0,73.0,Acervo do Museu do Diamante,Minas Gerais
Balança 02,1948-01-01,Museu do Diamante,62.2,54.0,Acervo do Museu do Diamante,Minas Gerais
Castiçal,1944-01-01,Museu do Diamante,24.0,11.0,Acervo do Museu do Diamante,Porto
