col0,col1,col2,col3
McNeese State Cowgirls basketball,Cowgirls,1976-01-01,Burton Coliseum
Binghamton Bearcats women's basketball,Bearcats,1973-01-01,Binghamton University Events Center
Sam Houston State Bearkats women's basketball,Bearkats,1969-01-01,Bernard Johnson Coliseum
American Eagles women's basketball,Eagles,1966-01-01,Bender Arena
Auburn Tigers women's basketball,Tigers,1971-01-01,Auburn Arena
Indiana Hoosiers women's basketball,Hoosiers,1971-01-01,Simon Skjodt Assembly Hall
Wyoming Cowgirls basketball,Cowgirls,1973-01-01,Arena-Auditorium
Florida Gulf Coast Eagles women's basketball,Eagles,2002-01-01,Alico Arena
Long Beach State 49ers women's basketball,Beach,1962-01-01,Walter Pyramid
San Diego State Aztecs women's basketball,Aztecs,1976-01-01,Viejas Arena
