col0,col1,col2,col3,col4
São Paulo - Jardim da Luz V,Jardim da Luz,9.2,collotype technique,Museu Paulista
São Paulo. Theatro São José I,São José Theatre,8.6,paper,Museu Paulista
Instituto Biológico - S. Paulo Fotolabor 77,Instituto Biológico Museum,12.3,paper,Museu Paulista
São Paulo - Alto da Serra,Paranapiacaba,9.0,paper,Museu Paulista
São Paulo Coleção Paulicéias Perdidas,Rua 15 de Novembro (São Paulo),11.0,paper,Museu Paulista
São Paulo. Jardim da Praça da Republica I,Praça da República,8.5,paper,Museu Paulista
Vista parcial da Avenida Cásper Líbero. São Paulo/Sp,Centro Histórico de São Paulo,12.3,paper,Museu Paulista
Vista parcial da Praça João Mendes. São Paulo/Sp,Centro Histórico de São Paulo,12.1,paper,Museu Paulista
Vista parcial do Túnel Nove de Julho. São Paulo/Sp,Avenida 9 de Julho,18.3,paper,Museu Paulista
São Paulo. S. P. R. Serra II,São Paulo Railway,8.7,paper,Museu Paulista
São Paulo - Estação da Luz S.P.R. III,Luz Station,9.0,paper,Museu Paulista
São Paulo. Largo da Sé,Praça da Sé,8.5,paper,Museu Paulista
São Paulo. Theatro Municipal,Municipal Theater of São Paulo,8.7,paper,Museu Paulista
São Paulo. Parque Antarctica II,Estádio Palestra Itália,8.7,paper,Museu Paulista
São Paulo - Carro de Bôi,bullock cart,9.0,paper,Museu Paulista
Vista parcial da Avenida São João. São Paulo/Sp,Edifício Altino Arantes,18.3,paper,Museu Paulista
São Paulo. Avenida Paulista II,Paulista Avenue,8.8,paper,Museu Paulista
Praia de Interlagos - S.Paulo Fotolabor 63,São Paulo,11.2,paper,Museu Paulista
Horto Florestal - S. Paulo Fotolabor 101,São Paulo,11.5,paper,Museu Paulista
Vista parcial do Vale do Anhangabaú. São Paulo/Sp,São Paulo,18.3,paper,Museu Paulista
