col0,col1,col2,col3,col4,col5
Standard-Dose Combination Chemotherapy or High-Dose Combination Chemotherapy and Stem Cell Transplant in Treating Patients With Relapsed or Refractory Germ Cell Tumors,14,teratoma,"A Randomized Phase III Trial Comparing Conventional-Dose Chemotherapy Using Paclitaxel, Ifosfamide, and Cisplatin (TIP) With High-Dose Chemotherapy Using Mobilizing Paclitaxel Plus Ifosfamide Followed by High-Dose Carboplatin and Etoposide (TI-CE) as First Salvage Treatment in Relapsed or Refractory Germ Cell Tumors",Loma Linda University,2024-06-01
Dabrafenib and Trametinib in Treating Patients With Stage III-IV BRAF Mutant Melanoma That Cannot Be Removed by Surgery,18,melanoma,A Randomized Phase II Trial of Intermittent Versus Continuous Dosing of Dabrafenib (NSC-763760) and Trametinib (NSC-763093) in BRAF V600E/K Mutant Melanoma,Loma Linda University,2020-06-15
An Efficacy and Safety Study of AG-221 (CC-90007) Versus Conventional Care Regimens in Older Subjects With Late Stage Acute Myeloid Leukemia Harboring an Isocitrate Dehydrogenase 2 Mutation,60,leukemia,"A Phase 3, Multicenter, Open-label, Randomized Study Comparing the Efficacy and Safety of AG-221 (CC-90007) Versus Conventional Care Regimens in Older Subjects With Late Stage Acute Myeloid Leukemia Harboring an Isocitrate Dehydrogenase 2 Mutation",Case Western Reserve University,2020-03-31
A Safety and Efficacy Study of Oral AG-120 Plus Subcutaneous Azacitidine and Oral AG-221 Plus Subcutaneous Azacitidine in Subjects With Newly Diagnosed Acute Myeloid Leukemia (AML),18,leukemia,"A Phase 1b/2 Open-label, Randomized Study of 2 Combinations of Isocitrate Dehydrogenase (IDH) Mutant Targeted Therapies Plus Azacitidine: Oral AG-120 Plus Subcutaneous Azacitidine and Oral AG-221 Plus SC Azacitidine in Subjects With Newly Diagnosed Acute Myeloid Leukemia Harboring an IDH1 or an IDH2 Mutation, Respectively, Who Are Not Candidates to Receive Intensive Induction Chemotherapy",Careggi University Hospital,2019-11-20
An Efficacy and Safety Study of Azacitidine Subcutaneous in Combination With Durvalumab (MEDI4736) in Previously Untreated Subjects With Higher-Risk Myelodysplastic Syndromes (MDS) or in Elderly Subjects With Acute Myeloid Leukemia (AML),18,leukemia,"A Randomized, Multicenter, Open-label, Phase 2 Study Evaluating the Efficacy and Safety of Azacitidine Subcutaneous in Combination With Durvalumab (MEDI4736) in Previously Untreated Subjects With Higher-Risk Myelodysplastic Syndromes (MDS) or in Elderly (>= 65 Years) Acute Myeloid Leukemia (AML) Subjects Not Eligible for Hematopoietic Stem Cell Transplantation (HSCT)",Careggi University Hospital,2018-10-31
Safety and Efficacy Trial of RPC1063 for Moderate to Severe Ulcerative Colitis,18,colitis,"A Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled Trial of Oral RPC1063 as Induction and Maintenance Therapy for Moderate to Severe Ulcerative Colitis",Hannover Medical School,2020-07-29
Cleansing Efficacy of Waist-shaped Interdental Brushes.,18,periodontitis,Cleansing Efficacy of Waist-shaped Interdental Brushes. A Randomized-controlled Crossover Study.,Medical University of Innsbruck,2018-03-02
Multi-DOSE Oral Ondansetron for Pediatric Acute GastroEnteritis,6,diarrhea,Multi-dose Oral Ondansetron For Pediatric Gastroenteritis: A Pragmatic Randomized Controlled Trial,University of Alberta,2021-06-01
Functional MRI Biomarkers of Cognitive Decrements in Diabetes,40,diabetes mellitus,Functional MRI Biomarkers of Cognitive Decrements in Diabetes,Maastricht University,2015-04-30
Dietary Intervention and Gastrointestinal Function in Patients With Parkinson's Disease,21,Parkinson disease,Dietary Intervention and Gastrointestinal Function in Patients With Parkinson's Disease,University of Florida,2019-08-31
"Safety, Tolerability, and Efficacy Study of Idiopathic Pulmonary Fibrosis",35,pulmonary fibrosis,"A Phase 2, Open-Label, Dose-Escalation Study to Evaluate the Safety, Tolerability, and Efficacy of FG-3019 in Subjects With Idiopathic Pulmonary Fibrosis",Tampa General Hospital,2014-06-26
