col0,col1,col2
Arsenal (Basse-Terre),Basse-Terre,monument historique classé
Arsenal des galères (Marseille),1st arrondissement of Marseille,registered historic monument
Arsenal de Neuf-Brisach,Neuf-Brisach,registered historic monument
Kremlin Arsenal,Moscow,cultural heritage site in Russia
Arsenal of Namur,Namur,protected heritage monument in Wallonia
Colt Armory,Hartford,NRHP contributing property
"Het Arsenaal, Amsterdam",Amsterdam,Rijksmonument
"arsenal, Bergen op Zoom",Bergen op Zoom,Rijksmonument
Arsenaal,Woerden,Rijksmonument
Watervliet Arsenal,Watervliet,National Historic Landmark
Rock Island Arsenal,Rock Island County,National Historic Landmark
McGehee National Guard Armory,McGehee,place listed on the National Register of Historic Places
Ordnance Building,Saint John,national historic site of Canada
Hotel Tereziánský dvůr,Hradec Králové,cultural monument of the Czech Republic
