col0,col1,col2
Alojzy Smolka Puppet and Actor Theatre,Opole,1937-01-01
Olsztyn Puppet Theatre,Olsztyn,1953-11-13
Baj Pomorski Theater,Toruń,1945-01-01
Bóbita Bábszínház,Pécs,1951-01-01
Academic Regional Puppet Theatre of Donetsk,Donetsk,1933-12-01
State Academic Puppet Theatre,Kharkiv,1939-07-01
Mykolaiv Puppet Theatre,Mykolaiv,1970-12-01
Divadlo loutek Ostrava,Ostrava,1953-01-01
Chuvash State Puppet Theater,Cheboksary,1945-04-15
Wrocław Puppet Theater,Wrocław,1894-01-01
Gradsko kazalište lutaka Split,Split,1945-03-08
