col0,col1,col2,col3,col4,col5
2013 European Mixed Team Badminton Championships,2015 European Mixed Team Badminton Championships,2013-02-17,Ramenskoye,Germany national badminton team,2013-01-01
2011 European Mixed Team Badminton Championships,2013 European Mixed Team Badminton Championships,2011-02-20,Amsterdam,Germany national badminton team,2011-01-01
1984 European Mixed Team Badminton Championships,1986 European Mixed Team Badminton Championships,1984-04-14,Preston,Germany national badminton team,1984-01-01
1986 European Mixed Team Badminton Championships,1988 European Mixed Team Badminton Championships,1986-04-05,Uppsala,Germany national badminton team,1986-01-01
1988 European Mixed Team Badminton Championships,1990 European Mixed Team Badminton Championships,1988-04-16,Kristiansand,Germany national badminton team,1988-01-01
1990 European Mixed Team Badminton Championships,1992 European Mixed Team Badminton Championships,1990-04-14,Moscow,GDR national badminton team,1990-01-01
1994 European Mixed Team Badminton Championships,1996 European Mixed Team Badminton Championships,1994-04-17,'s-Hertogenbosch,Germany national badminton team,1994-01-01
1996 European Mixed Team Badminton Championships,1998 European Mixed Team Badminton Championships,1996-04-20,Haining City,Germany national badminton team,1996-01-01
2000 European Mixed Team Badminton Championships,2002 European Mixed Team Badminton Championships,2000-04-30,Glasgow,Germany national badminton team,2000-01-01
1992 European Mixed Team Badminton Championships,1994 European Mixed Team Badminton Championships,1992-04-18,Glasgow,Germany national badminton team,1992-01-01
