col0,col1,col2,col3,col4
Atlético Madrid Femenino,Madrid,2001-01-01,Spain,Primera División
Rayo Vallecano,Madrid,2000-01-01,Spain,Primera División
WFC Rossiyanka,Krasnoarmeysk,2003-01-01,Russia,Russian Women's Football Championship
WFC Chertanovo,Moscow,1987-01-01,Russia,Russian Women's Football Championship
Deportivo Cali women's team,Cali,2019-01-01,Colombia,Colombian Women's Football League
FC Neunkirch,Neunkirch,1963-01-01,Switzerland,Nationalliga A
Madrid CFF,San Sebastián de los Reyes,2010-01-01,Spain,Segunda División
FC Minsk,Minsk,2006-01-01,Belarus,Belarusian Premier League
LOSC Lille,Lille,2005-01-01,France,Division 1 Féminine
Paris Football Club,Paris,1971-01-01,France,Division 1 Féminine
Eskilstuna United DFF,Eskilstuna,2002-01-01,Sweden,Damallsvenskan
North Carolina Courage,Cary,2017-01-01,United States of America,National Women's Soccer League
