col0,col1,col2,col3,col4,col5,col6
Fortuneo-Oscaro 2017,2017-12-31,UCI Professional Continental Team,2017 Trofeo Palma,Emmanuel Hubert,Fortuneo-Vital Concept 2016,Fortuneo-Samsic 2018
Caja Rural-Seguros RGA 2017,2017-12-31,UCI Professional Continental Team,2017 Five Rings of Moscow,Juan Manuel Hernández,Caja Rural-Seguros RGA 2016,Caja Rural-Seguros RGA 2018
Cofidis 2017,2017-12-31,UCI Professional Continental Team,"2017 Volta a Catalunya, Stage 4",Yvon Sanquer,Cofidis 2016,Cofidis 2018
Nippo-Vini Fantini 2016,2016-12-31,cycling team season,2016 Gran Premio della Costa Etruschi,Francesco Pelosi,Nippo-Vini Fantini 2015,Nippo-Vini Fantini 2017
Drapac 2016,2016-12-31,cycling team season,"2016 Tour de San Luis, Stage 3",Jonathan Breekveldt,Drapac 2015,Drapac-Pat's Veg Holistic Development 2017
Cofidis 2016,2016-12-31,cycling team season,"2016 Paris–Nice, Stage 4",Yvon Sanquer,Cofidis 2015,Cofidis 2017
Androni Giocattoli-Sidermec 2016,2016-12-31,cycling team season,"2016 Tour of China I, Stage 6",Gianni Savio,Androni Giocattoli-Sidermec 2015,Androni Giocattoli 2017
Direct Énergie 2016,2016-12-31,cycling team season,2016 Four Days of Dunkirk,Jean-René Bernaudeau,Europcar 2015,Direct Énergie 2017
Fortuneo-Vital Concept 2016,2016-12-31,cycling team season,2016 Grand Prix de Denain,Emmanuel Hubert,Bretagne-Séché Environnement 2015,Fortuneo-Oscaro 2017
Topsport Vlaanderen-Baloise 2015,2015-12-31,cycling team season,2015 Dwars door de Vlaamse Ardennen,Christophe Sercu,Topsport Vlaanderen-Baloise 2014,Topsport Vlaanderen-Baloise 2016
ONE 2016,2016-12-31,UCI Professional Continental Team,"2016 New Zealand Cycle Classic, Stage 3",Rebecca Frewing,ONE 2015,ONE 2017
Nippo-Vini Fantini 2016,2016-12-31,UCI Professional Continental Team,2016 Gran Premio della Costa Etruschi,Francesco Pelosi,Nippo-Vini Fantini 2015,Nippo-Vini Fantini 2017
Drapac 2016,2016-12-31,UCI Professional Continental Team,"2016 Tour de San Luis, Stage 3",Jonathan Breekveldt,Drapac 2015,Drapac-Pat's Veg Holistic Development 2017
Cofidis 2016,2016-12-31,UCI Professional Continental Team,"2016 Paris–Nice, Stage 4",Yvon Sanquer,Cofidis 2015,Cofidis 2017
Bardiani CSF 2016,2016-12-31,UCI Professional Continental Team,2016 Gran Premio di Lugano,Roberto Reverberi,Bardiani CSF 2015,Bardiani CSF 2017
