col0,col1,col2,col3,col4,col5
Rusal,64000,Oleg Deripaska,Jersey,aluminum,Hong Kong Stock Exchange
Ralph Lauren Corporation,6900,Ralph Lauren,United States of America,clothing,New York Stock Exchange
The Coca-Cola Company,200000,Asa Griggs Candler,United States of America,Coca-Cola,New York Stock Exchange
Yandex,8854,Arkady Volozh,Russia,web search engine,NASDAQ
Apple Inc.,137000,Steve Jobs,United States of America,iPhone,NASDAQ
Nokia,103083,Fredrik Idestam,Finland,software,New York Stock Exchange
Boeing,153000,William Boeing,United States of America,Boeing 747,New York Stock Exchange
Bombardier,65698,Joseph-Armand Bombardier,Canada,airplane,Toronto Stock Exchange
Casio,12287,Kazuo Kashio,Japan,calculator,Tokyo Stock Exchange
Axel Springer SE,13917,Axel Springer,Germany,magazine,Frankfurt Stock Exchange
Cray,1042,Seymour Cray,United States of America,computer hardware,NASDAQ
BlackRock,11400,Laurence D. Fink,United States of America,asset management,New York Stock Exchange
Tata Motors,27948,J. R. D. Tata,India,truck,New York Stock Exchange
Monsanto,25500,John Francis mongoul,United States of America,seed,New York Stock Exchange
Altria,9900,Kraft Foods,United States of America,tobacco,New York Stock Exchange
Canon Inc.,194151,Takeshi Mitarai,Japan,printer,New York Stock Exchange
Electrolux,58000,Axel Wenner-Gren,Sweden,refrigerator,Stockholm Stock Exchange
Seagate Technology,57900,Alan Shugart,United States of America,hard disk drive,NASDAQ
Qualcomm Inc.,41000,Andrew Viterbi,United States of America,computer hardware,NASDAQ
Panasonic Corporation,257533,Konosuke Matsushita,Japan,television,Tokyo Stock Exchange
