col0,col1,col2,col3,col4,col5
Metropolis of Greater Paris,metropole,6999097,2016-01-01,Île-de-France,131
Metropolis of Aix-Marseille-Provence,metropole,1898950,2016-01-01,Bouches-du-Rhône,92
Urban Community of Nantes Métropole,metropole,619240,1991-10-25,Loire-Atlantique,24
Metropole Nice Cote d'Azur,metropole,544819,2011-12-31,Alpes-Maritimes,49
Urban Community of Greater Nancy,metropole,261985,1996-01-01,Meurthe-et-Moselle,20
Dijon Métropole,metropole,251897,1999-12-24,Côte-d’Or,24
Tours Métropole Val de Loire,metropole,299847,1999-12-30,Indre-et-Loire,22
Metz Métropole,metropole,226287,2002-01-01,Moselle,44
Communauté d'agglomération Toulon Provence Méditerranée,metropole,439542,2002-01-01,Var,12
Saint-Étienne Métropole,metropole,410290,2001-01-01,Loire,53
Orléans Métropole,metropole,289942,2002-01-01,Loiret,22
