col0,col1,col2,col3,col4
AEK Larnaca VC,2016-17 Cyprus Women's Volleyball Division 1,1994-07-18,volleyball team,Kition Athletic Center
Anagennisi Deryneia VC,2016-17 Cyprus Women's Volleyball Division 1,1978-01-01,volleyball team,Anagennisi Deryneia Indoor Arena
Anorthosis Petosfaira,2016-17 Cyprus Volleyball Division 2,2012-10-23,volleyball team,Themistokleio Sports Center
United Volleys Frankfurt,Deutsche Volleyball-Bundesliga,2015-01-01,volleyball team,Fraport Arena
Anagennisi Deryneia VC,2016-17 Cyprus Volleyball Division 1,1937-01-01,volleyball team,Anagennisi Deryneia Indoor Arena
Omonoia AC Volleyball,2016-17 Cyprus Volleyball Division 1,1948-01-01,volleyball team,Eleftheria Indoor Hall
AEL Limassol VC,2016-17 Cyprus Women's Volleyball Division 1,1976-01-01,volleyball team,Nicos Solomonides
Pafiakos VC,2016-17 Cyprus Volleyball Division 1,1979-01-01,volleyball team,Aphroditi Sports Hall
Nea Salamis Famagusta VC,2016-17 Cyprus Volleyball Division 1,1975-01-01,volleyball team,Spyros Kyprianou Athletic Center
Numancia CMA Soria,Superliga de Voleibol Masculina,1978-01-01,volleyball team,Nuevo Estadio Los Pajaritos
All Boys,Primera B Nacional,1913-03-15,volleyball team,Estadio Islas Malvinas
VfB Friedrichshafen,Landesliga Wuerttemberg,1909-01-01,volleyball team,Zeppelinstadion
Club Sport Emelec,Ecuatorian Liga Pro,1929-04-28,volleyball team,Estadio George Capwell
