col0,col1,col2
Deutsche Pappebuch Gesellschaft,Potsdam,Sarah Settgast
Scuola Superiore Guglielmo Reiss Romoli,L’Aquila,STET – Società Finanziaria Telefonica
Elefanten-Press-Verlag,Oranienstraße,Tom Fecht
Editorial Juventud,Barcelona,Josep Zendrera Fecha
Editorial Males Herbes,Barcelona,Ramon Mas
A. Fullarton & Co,Glasgow,Archibald Fullarton
Editorial Muntañola,Barcelona,Antoni Muntanyola i Carner
Université francophone d'été Saintonge-Québec,Jonzac,Jean Glénisson
Edicions de 1984,Barcelona,Josep Cots
Al Maqar Press,Darul Aman (campus),Sheikh Hamza Ahmed
"Círculo de Lectores, S.A.",Barcelona,Reinhard Mohn
