col0,col1,col2,col3,col4,col5
617 Paroclus,Landessternwarte Heidelberg-Königstuhl,44.18428888258246,August Kopff,618 Elfriede,Menoetius
22 Kallipre,Bishop Observatory,65.54600224871456,John Russell Hind,23 Thalia,Linus
87 Syvia,Madras Observatory,72.4007884605228,Norman Robert Pogson,88 Thisbe,Romulus
45 Eugeni,Paris Observatory,148.71138734609755,Hermann Goldschmidt,46 Hestia,Petit-Prince
42357 Typhon,Palomar Observatory,350.2002,Near-Earth Asteroid Tracking,(42356) 2002 CA47,Echidna
7088 Ishar,Palomar Observatory,102.44510918,Eugene Merle Shoemaker,(7089) 1992 FX1,S/2006 (7088) 1
6230 Hermes,Landessternwarte Heidelberg-Königstuhl,34.614533,Karl Wilhelm Reinmuth,69231 Alettajacobs,S/2003 (69230) 1
5381 Skhmet,Palomar Observatory,58.89307092,Carolyn S. Shoemaker,5382 McKay,S/2003 (5381) 1
4089 Tama,Tokyo Astronomical Observatory (before 1938),71.40878973000001,Okuro Oikawa,1090 Sumida,S/2003 (1089) 1
(5107) 1991 VH,Siding Spring Observatory,140.61067823,Robert H. McNaught,(35108) 1991 VZ7,S/2001 (35107) 1
(31345)1998 PG,Anderson Mesa Station,223.61978548,Lowell Observatory Near-Earth-Object Search,(31346) 1998 PB1,S/2001 (31345) 1
65803 Didymo,Kitt Peak National Observatory,73.94109,Spacewatch,(65804) 1996 HT6,S/2003 (65803) 1
66652 Borasivi,Mauna Kea Observatories,85.26620999999999,Jane Luu,(66653) 1999 RS254,Pabu
5489 Ceuo,Palomar Observatory,172.516,Michael E. Brown,(65490) 2062 P-L,Phorcys
23 Ida,Vienna Observatory,326.615039258759,Johann Palisa,244 Sita,(243) Ida I Dactyl
120349 Sblacia,Palomar Observatory,282.0607,Michael E. Brown,(120348) 2004 TY364,Actaea
216 Koeopatra,Pula Observatory,213.85878507471048,Johann Palisa,217 Eudora,Alexhelios
Eris,Palomar Observatory,35.689073,Michael E. Brown,(136200) 2003 VS5,Dysnomia
"58534""Logos",Mauna Kea Observatories,133.62451199999998,Mauna Kea Observatories,58535 Pattillo,Zoe
80000 Quaoar,Palomar Observatory,190.12089867351511,Palomar Observatory,(50001) 2000 AK15,Weywot
