col0,col1,col2,col3
Fukagawa Kōtō Gakkō,24,Gangdong District,1924-01-01
Tokyo Metropolitan Nogyo High School,15,Tokyo,1909-01-01
Tokyo Metropolitan Tachikawa High School,24,Tokyo,1901-01-01
Iwate Prefectural Shizukuishi High School,4,Shizukuishi,1948-01-01
Oshima High School,9,Ōshima,1944-01-01
Miyake High School,6,Miyake,1948-01-01
Seiryo Junior-Senior High School,66,Fujinomiya,1974-01-01
Tokyo Metropolitan Hino High School,24,Hino,1966-01-01
Sumidagawa High School,24,Sumida-ku,1921-01-01
"Tokyo Metropolitan both countries High School, Junior High School",9,Sumida-ku,1901-01-01
Tokyo Metropolitan University Matsubara,15,Setagaya-ku,1948-01-01
Tokyo Metropolitan Komatsugawa High School,24,Edogawa-ku,1916-01-01
Tokyo Metropolitan Bunkyo High School,27,Bunkyō-ku,1940-01-01
Tokyo Metropolitan Kogei High School,15,Bunkyō-ku,1907-04-01
