col0,col1,col2
AirAsia India,AirAsia,India
Korean Air,National Pension Service,South Korea
Asiana Airlines,HDC Hyundai Development Company,South Korea
Thai Airways,Ministry of Finance,Thailand
Pakistan International Airlines,Government of Pakistan,Pakistan
South African Airways,Government of South Africa,South Africa
Croatia Airlines,Government of Croatia,Croatia
Adria Airways,4K KNDNS,Slovenia
České aerolinie,Smartwings,Czech Republic
airBaltic,Government of Latvia,Latvia
Lufthansa Cargo,Lufthansa,Germany
Hainan Airlines,Grand China Air,People's Republic of China
Sichuan Airlines,China Southern Airlines,People's Republic of China
Ethiopian Airlines,Government of Ethiopia,Ethiopia
Österreichische Luftverkehrs AG,Österreichische Bundesbahnen,Austria
LOT Polish Airlines,Polska Grupa Lotnicza,Poland
Blue1,Scandinavian Airlines,Finland
US Airways,American Airlines Group,United States of America
Iberia,International Airlines Group,Spain
Malindo Air,Lion Air,Malaysia
