col0,col1,col2,col3
Independent Senate Group,Netherlands,regionalism,1995-01-01
Arab Socialist Ba'ath Party – Iraq Region,Iraq,Ba'athism,1951-01-01
Grenvillite,Great Britain,royalism,1740-01-01
Iranian reform movement,Iran,reformism,1997-01-01
Sarim,Joseon,Neo-Confucianism,1469-01-01
Historical Right,Kingdom of Sardinia,classical liberalism,1849-01-01
Thermidorians,France,classical liberalism,1794-07-27
League of Communists of Kosovo,Socialist Federal Republic of Yugoslavia,market socialism,1944-01-01
Doctrinaires,July Monarchy,monarchism,1815-07-08
Khalq,Afghanistan,Marxism–Leninism,1965-01-01
National Alliance,Uruguay,christian democracy,1999-01-01
Peelite,United Kingdom of Great Britain and Ireland,free trade,1846-01-01
Parcham,Afghanistan,democratic socialism,1965-01-01
New Socialist Party,France,democratic socialism,2003-01-01
populares,Roman Republic,populism,-0132-01-01T00:00:00Z
National Labour Organisation,United Kingdom,social democracy,1931-01-01
Liber Seregni Front,Uruguay,social democracy,2009-01-01
Free Princes Movement,Saudi Arabia,constitutional monarchy,1958-01-01
