col0,col1,col2,col3,col4,col5
Goldman Sachs,1869-01-01,200 West Street,credit institution,Marcus Goldman,New York Stock Exchange
Puma SE,1948-03-12,Herzogenaurach,brick and mortar company,Rudolf Dassler,Frankfurt Stock Exchange
Unilever,1929-01-01,Rotterdam,dual-listed company,Samuel van den Bergh,New York Stock Exchange
Goldman Sachs,1869-01-01,200 West Street,investment bank,Marcus Goldman,New York Stock Exchange
Visa Inc.,1958-01-01,Foster City,multinational corporation,Dee Hock,New York Stock Exchange
Motorola,1928-09-25,Schaumburg,multinational corporation,Paul Galvin,New York Stock Exchange
Monsanto,1901-01-01,St. Louis,multinational corporation,John Francis mongoul,New York Stock Exchange
American Express,1850-01-01,200 Vesey Street,multinational corporation,William Fargo,New York Stock Exchange
Goldman Sachs,1869-01-01,200 West Street,multinational corporation,Marcus Goldman,New York Stock Exchange
Puma SE,1948-03-12,Herzogenaurach,multinational corporation,Rudolf Dassler,Frankfurt Stock Exchange
Volkswagen Group,1937-05-28,Wolfsburg,commercial organization,German Labour Front,New York Stock Exchange
Total S.A.,1924-03-28,Courbevoie,enterprise,Ernest Mercier,New York Stock Exchange
Panasonic Corporation,1918-03-13,Kadoma,enterprise,Konosuke Matsushita,Tokyo Stock Exchange
Total S.A.,1924-03-28,Courbevoie,business,Ernest Mercier,New York Stock Exchange
