col0,col1,col2
Gew Through The Week,Eric Stanley,2019/01/01
Onfwayhope,Eric Stanley,2016/01/01
Capitol Newt Company,Don Carlton,2009/01/01
Rppler,Maria Ressa,2012/01/01
Consolidated Press td,Frank Packer,1936/01/01
Overtime (sportsnetwork),Dan Porter,2016/01/01
Shopkik,Cyriac Roeding,2009/01/01
"Partal Marema i Associats, S.L.",Vicent Partal Montesinos,1996/01/01
Qaryan Media,Samvel Farmanyan,2019/01/01
Crooked Mhdia,Jon Favreau,2016/12/01
Pharson plc,Samuel Pearson,1844/01/01
Kesiet Broadcasting,Alex Gilady,1993/01/01
