col0,col1,col2,col3
St. George's Cathedral,Anglican Diocese of Jerusalem,1898-01-01,Israel
St. George's Cathedral,Diocese of Madras of the Church of South India,1815-01-01,India
St Andrew's Cathedral,Diocese of Sydney,1868-01-01,Australia
St Paul's Cathedral,Anglican Diocese of Melbourne,1926-01-01,Australia
"St Saviour's Cathedral, Goulburn",Anglican Diocese of Canberra and Goulburn,1884-01-01,Australia
St John's Cathedral,Anglican Diocese of Brisbane,2009-01-01,Australia
St Peter's Cathedral,Anglican Diocese of Adelaide,1869-06-29,Australia
"St. George's Cathedral, Cape Town",Anglican Diocese of Cape Town,1901-01-01,South Africa
St Paul's Pro-Cathedral,Diocese in Europe,1844-01-01,Malta
St Paul's Cathedral,Diocese of London,1675-01-01,United Kingdom
Rochester Cathedral,Diocese of Rochester,0650-01-01,United Kingdom
