col0,col1,col2,col3,col4,col5,col6
Holyrood Abbey,Augustinians,City of Edinburgh,1128-01-01,United Kingdom,former building or structure,scheduled monument
Haverfordwest Priory,Augustinians,Pembrokeshire,1200-01-01,United Kingdom,priory,Grade I listed building
Old Quarr Abbey,Cistercians,Ryde,1132-01-01,United Kingdom,monastery ruins,scheduled monument
Sopwell Priory,Benedictines,St Albans City and District,1101-01-01,United Kingdom,monastery ruins,scheduled monument
Haverfordwest Priory,Augustinians,Pembrokeshire,1200-01-01,United Kingdom,monastery ruins,Grade I listed building
Bayham Old Abbey,Premonstratensians,Frant,1201-01-01,United Kingdom,monastery ruins,scheduled monument
Melrose Abbey,Cistercians,Scottish Borders,1136-01-01,United Kingdom,monastery ruins,scheduled monument
Fontainejean Abbey,Cistercians,Saint-Maurice-sur-Aveyron,1124-01-01,France,monastery ruins,registered historic monument
Alvastra Abbey,Cistercians,Ödeshög Municipality,1101-01-01,Sweden,monastery ruins,monument in Fornminnesregistret
Hailes Abbey,Cistercians,Winchcombe,1201-01-01,United Kingdom,monastery ruins,Grade I listed building
