col0,col1,col2,col3,col4,col5
"Bandai Co., Ltd.",Taitō-ku,enterprise,model car,Bandai Namco Holdings,Yutaka
"Sanyo Electric Co., Ltd.",Ōsaka,enterprise,semiconductor,Panasonic Corporation,Solar Ark
"Bandai Co., Ltd.",Taitō-ku,business,model car,Bandai Namco Holdings,Yutaka
"Sanyo Electric Co., Ltd.",Ōsaka,business,semiconductor,Panasonic Corporation,Solar Ark
Bombardier Transportation,Berlin,rail vehicle manufacturer,locomotive,Bombardier,Bombardier Transportation Polska
"Activision Publishing, Inc.",Santa Monica,video game publisher,software,Activision Blizzard,Treyarch
Sony Pictures,Culver City,subsidiary,film,Sony,Funimation
Bombardier Transportation,Berlin,subsidiary,locomotive,Bombardier,Bombardier Transportation Polska
"Bandai Co., Ltd.",Taitō-ku,subsidiary,model car,Bandai Namco Holdings,Yutaka
Lucasfilm,San Francisco,subsidiary,film,The Walt Disney Studios,Indiana Jones
